"DE_ICP4_not_n208"	"DE_ICP4_not_n6"	"DE_ICP4_not_RR_LL"	"DE_ICP4_not_n208_n6"	"DE_ICP4_RR_LL_not_n208_n6"
"ENSG00000253503"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000253736"	TRUE	FALSE	TRUE	FALSE	FALSE
"THAP12P7"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000254510"	TRUE	FALSE	FALSE	FALSE	FALSE
"TDH-AS1"	TRUE	TRUE	TRUE	TRUE	FALSE
"LINC02697"	TRUE	TRUE	TRUE	TRUE	FALSE
"EBLN2"	TRUE	FALSE	FALSE	FALSE	FALSE
"LINC02361"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000256663"	TRUE	TRUE	FALSE	TRUE	TRUE
"ENSG00000256894"	TRUE	TRUE	TRUE	TRUE	FALSE
"BLTP3B-DT"	TRUE	TRUE	TRUE	TRUE	FALSE
"PRDM4-AS1"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000258424"	TRUE	TRUE	FALSE	TRUE	TRUE
"PRC1-AS1"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000258773"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000258807"	TRUE	FALSE	TRUE	FALSE	FALSE
"SNRPA1-DT"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000259392"	TRUE	FALSE	TRUE	FALSE	FALSE
"CERNA1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000259659"	TRUE	FALSE	TRUE	FALSE	FALSE
"GREM1-AS1"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000259969"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000259972"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000260007"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000260086"	TRUE	TRUE	TRUE	TRUE	FALSE
"DDX59-AS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000260279"	TRUE	FALSE	TRUE	FALSE	FALSE
"HEXA-AS1"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000260400"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000260773"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000260859"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000260912"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000261026"	TRUE	FALSE	TRUE	FALSE	FALSE
"TMEM178B"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000261168"	TRUE	FALSE	TRUE	FALSE	FALSE
"ATP2C2-AS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"TMPOP2"	TRUE	TRUE	FALSE	TRUE	TRUE
"MSMB"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000263826"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINC01444"	TRUE	FALSE	FALSE	FALSE	FALSE
"MIR3124"	TRUE	TRUE	TRUE	TRUE	FALSE
"DSEL-AS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000266651"	TRUE	FALSE	FALSE	FALSE	FALSE
"GAPLINC"	TRUE	FALSE	TRUE	FALSE	FALSE
"MAP3K14-AS1"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000267509"	TRUE	TRUE	TRUE	TRUE	FALSE
"LINC01836"	TRUE	FALSE	TRUE	FALSE	FALSE
"RUNDC3A-AS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000267886"	TRUE	FALSE	FALSE	FALSE	FALSE
"PNMA6B"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000269927"	TRUE	TRUE	FALSE	TRUE	TRUE
"ENSG00000270012"	TRUE	TRUE	FALSE	TRUE	TRUE
"H4C14"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000271664"	TRUE	FALSE	TRUE	FALSE	FALSE
"AFF4-DT"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000272037"	TRUE	TRUE	TRUE	TRUE	FALSE
"FCHO2-DT"	TRUE	FALSE	TRUE	FALSE	FALSE
"MAP7-AS1"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000272235"	TRUE	TRUE	TRUE	TRUE	FALSE
"LINC01115"	TRUE	FALSE	TRUE	FALSE	FALSE
"CD24"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000272789"	TRUE	FALSE	TRUE	FALSE	FALSE
"MAP3K4-AS1"	TRUE	FALSE	FALSE	FALSE	FALSE
"ARHGEF2-AS2"	TRUE	FALSE	TRUE	FALSE	FALSE
"H2BC6"	TRUE	FALSE	TRUE	FALSE	FALSE
"H2BC17"	TRUE	FALSE	TRUE	FALSE	FALSE
"ZKSCAN2-DT"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000275367"	TRUE	TRUE	TRUE	TRUE	FALSE
"FCGBP"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000275993"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000277287"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000277290"	TRUE	TRUE	TRUE	TRUE	FALSE
"PKD1L3"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000278576"	TRUE	FALSE	TRUE	FALSE	FALSE
"BEND3P3"	TRUE	TRUE	TRUE	TRUE	FALSE
"H3C10"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000278969"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000279266"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000279277"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000279278"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000279339"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000279711"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000279989"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000280063"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000280079"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000280367"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000283376"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000284391"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000284624"	TRUE	TRUE	TRUE	TRUE	FALSE
"ARHGAP11B"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000285728"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000285730"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000285802"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000285877"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000286004"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000286141"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000286288"	TRUE	TRUE	FALSE	TRUE	TRUE
"ENSG00000286361"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000286451"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000286456"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000286584"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000286622"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000287326"	TRUE	FALSE	TRUE	FALSE	FALSE
"ACTL10"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000288885"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000288888"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000289154"	TRUE	FALSE	FALSE	FALSE	FALSE
"HECTD2-AS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000289401"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000289405"	TRUE	TRUE	FALSE	TRUE	TRUE
"ENSG00000289519"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000289535"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000290047"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000290049"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000290126"	TRUE	FALSE	FALSE	FALSE	FALSE
"CYP4F35P"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000290571"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000290735"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000290796"	TRUE	FALSE	FALSE	FALSE	FALSE
"LRRC37A5P"	TRUE	TRUE	TRUE	TRUE	FALSE
"CROCCP3"	TRUE	TRUE	TRUE	TRUE	FALSE
"ZNF781"	TRUE	TRUE	TRUE	TRUE	FALSE
"LINC00933"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000291048"	TRUE	FALSE	TRUE	FALSE	FALSE
"H2BP1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000293315"	TRUE	FALSE	TRUE	FALSE	FALSE
"GPR199P"	TRUE	TRUE	TRUE	TRUE	FALSE
"GPRC5A"	FALSE	TRUE	FALSE	FALSE	FALSE
"KIF26A"	FALSE	TRUE	FALSE	FALSE	FALSE
"LLGL2"	FALSE	TRUE	TRUE	FALSE	FALSE
"TACR2"	FALSE	TRUE	FALSE	FALSE	FALSE
"KCNN2"	FALSE	TRUE	FALSE	FALSE	FALSE
"ARHGAP28"	FALSE	TRUE	FALSE	FALSE	FALSE
"FLT3LG"	FALSE	TRUE	TRUE	FALSE	FALSE
"CERS4"	FALSE	TRUE	FALSE	FALSE	FALSE
"ISM1"	FALSE	TRUE	TRUE	FALSE	FALSE
"OXT"	FALSE	TRUE	TRUE	FALSE	FALSE
"NEURL1"	FALSE	TRUE	FALSE	FALSE	FALSE
"EBF3"	FALSE	TRUE	TRUE	FALSE	FALSE
"SEPTIN4"	FALSE	TRUE	FALSE	FALSE	FALSE
"CCL7"	FALSE	TRUE	TRUE	FALSE	FALSE
"VWF"	FALSE	TRUE	TRUE	FALSE	FALSE
"PTP4A1"	FALSE	TRUE	TRUE	FALSE	FALSE
"CDK18"	FALSE	TRUE	TRUE	FALSE	FALSE
"GPR68"	FALSE	TRUE	FALSE	FALSE	FALSE
"TNFSF18"	FALSE	TRUE	FALSE	FALSE	FALSE
"HOXC12"	FALSE	TRUE	FALSE	FALSE	FALSE
"NPAS1"	FALSE	TRUE	FALSE	FALSE	FALSE
"IL6"	FALSE	TRUE	TRUE	FALSE	FALSE
"LGR5"	FALSE	TRUE	FALSE	FALSE	FALSE
"TINAGL1"	FALSE	TRUE	TRUE	FALSE	FALSE
"HAPLN1"	FALSE	TRUE	FALSE	FALSE	FALSE
"ATP6V1G3"	FALSE	TRUE	FALSE	FALSE	FALSE
"MMP21"	FALSE	TRUE	TRUE	FALSE	FALSE
"GPR78"	FALSE	TRUE	FALSE	FALSE	FALSE
"CLSTN2"	FALSE	TRUE	FALSE	FALSE	FALSE
"CARMIL2"	FALSE	TRUE	TRUE	FALSE	FALSE
"COL26A1"	FALSE	TRUE	FALSE	FALSE	FALSE
"H3-3A"	FALSE	TRUE	FALSE	FALSE	FALSE
"ELOVL7"	FALSE	TRUE	TRUE	FALSE	FALSE
"EML5"	FALSE	TRUE	TRUE	FALSE	FALSE
"PCSK9"	FALSE	TRUE	TRUE	FALSE	FALSE
"GAP43"	FALSE	TRUE	FALSE	FALSE	FALSE
"PDE3A"	FALSE	TRUE	TRUE	FALSE	FALSE
"ZNG1A"	FALSE	TRUE	TRUE	FALSE	FALSE
"PHOSPHO1"	FALSE	TRUE	TRUE	FALSE	FALSE
"HOXB2"	FALSE	TRUE	FALSE	FALSE	FALSE
"NRROS"	FALSE	TRUE	FALSE	FALSE	FALSE
"PMS2P6"	FALSE	TRUE	TRUE	FALSE	FALSE
"CCDC168"	FALSE	TRUE	TRUE	FALSE	FALSE
"UMODL1"	FALSE	TRUE	TRUE	FALSE	FALSE
"WASHC1"	FALSE	TRUE	TRUE	FALSE	FALSE
"TENT5C"	FALSE	TRUE	FALSE	FALSE	FALSE
"RPSAP47"	FALSE	TRUE	FALSE	FALSE	FALSE
"DHFRP1"	FALSE	TRUE	FALSE	FALSE	FALSE
"PTMAP9"	FALSE	TRUE	FALSE	FALSE	FALSE
"MTCO3P12"	FALSE	TRUE	FALSE	FALSE	FALSE
"RASSF9"	FALSE	TRUE	TRUE	FALSE	FALSE
"COL6A6"	FALSE	TRUE	FALSE	FALSE	FALSE
"RNU6-5P"	FALSE	TRUE	FALSE	FALSE	FALSE
"RPS26P3"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000213080"	FALSE	TRUE	FALSE	FALSE	FALSE
"YWHAZP5"	FALSE	TRUE	FALSE	FALSE	FALSE
"RBMXP2"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000219201"	FALSE	TRUE	FALSE	FALSE	FALSE
"BMPR1AP1"	FALSE	TRUE	TRUE	FALSE	FALSE
"RPL21P119"	FALSE	TRUE	TRUE	FALSE	FALSE
"TMSB4XP4"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000223612"	FALSE	TRUE	FALSE	FALSE	FALSE
"RPS26P58"	FALSE	TRUE	FALSE	FALSE	FALSE
"RPL17P6"	FALSE	TRUE	FALSE	FALSE	FALSE
"PRELID1P5"	FALSE	TRUE	FALSE	FALSE	FALSE
"RPS24P19"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000227077"	FALSE	TRUE	TRUE	FALSE	FALSE
"HDGFP1"	FALSE	TRUE	FALSE	FALSE	FALSE
"NAMPTP1"	FALSE	TRUE	FALSE	FALSE	FALSE
"RPL5P4"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000230626"	FALSE	TRUE	TRUE	FALSE	FALSE
"EVA1A-AS"	FALSE	TRUE	TRUE	FALSE	FALSE
"KANTR"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000233778"	FALSE	TRUE	FALSE	FALSE	FALSE
"YWHAEP5"	FALSE	TRUE	FALSE	FALSE	FALSE
"LDHAP3"	FALSE	TRUE	FALSE	FALSE	FALSE
"GPS2P1"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000236750"	FALSE	TRUE	TRUE	FALSE	FALSE
"LINC00299"	FALSE	TRUE	TRUE	FALSE	FALSE
"HMGN2P17"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000238266"	FALSE	TRUE	TRUE	FALSE	FALSE
"RPL5P12"	FALSE	TRUE	FALSE	FALSE	FALSE
"RPL17P7"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000248569"	FALSE	TRUE	FALSE	FALSE	FALSE
"HNRNPKP1"	FALSE	TRUE	FALSE	FALSE	FALSE
"HSPD1P11"	FALSE	TRUE	FALSE	FALSE	FALSE
"SYT9-AS1"	FALSE	TRUE	FALSE	FALSE	FALSE
"RNF5P1"	FALSE	TRUE	FALSE	FALSE	FALSE
"PAICSP4"	FALSE	TRUE	FALSE	FALSE	FALSE
"LINC02721"	FALSE	TRUE	TRUE	FALSE	FALSE
"UBE2MP1"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000261613"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000262777"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000265800"	FALSE	TRUE	FALSE	FALSE	FALSE
"HIKESHIP2"	FALSE	TRUE	TRUE	FALSE	FALSE
"STK25P1"	FALSE	TRUE	TRUE	FALSE	FALSE
"LIF-AS2"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000270248"	FALSE	TRUE	TRUE	FALSE	FALSE
"YTHDF2P1"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000270871"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000271327"	FALSE	TRUE	TRUE	FALSE	FALSE
"RNU6-6P"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000273716"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000276850"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000277304"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000278817"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000279265"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000279393"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000280399"	FALSE	TRUE	FALSE	FALSE	FALSE
"LINC01176"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000285650"	FALSE	TRUE	TRUE	FALSE	FALSE
"NOTCH2NLB"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000286337"	FALSE	TRUE	TRUE	FALSE	FALSE
"NPBWR1"	FALSE	TRUE	FALSE	FALSE	FALSE
"ENSG00000291090"	FALSE	TRUE	TRUE	FALSE	FALSE
"PLAC9P1"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000293060"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENSG00000293339"	FALSE	TRUE	TRUE	FALSE	FALSE
"ENPP4"	FALSE	FALSE	TRUE	FALSE	FALSE
"TAC1"	FALSE	FALSE	TRUE	FALSE	FALSE
"CD79B"	FALSE	FALSE	TRUE	FALSE	FALSE
"CAMK1G"	FALSE	FALSE	TRUE	FALSE	FALSE
"MSR1"	FALSE	FALSE	TRUE	FALSE	FALSE
"SOX30"	FALSE	FALSE	TRUE	FALSE	FALSE
"ADAM28"	FALSE	FALSE	TRUE	FALSE	FALSE
"GUCA2B"	FALSE	FALSE	TRUE	FALSE	FALSE
"ROS1"	FALSE	FALSE	TRUE	FALSE	FALSE
"LAMC3"	FALSE	FALSE	TRUE	FALSE	FALSE
"METTL24"	FALSE	FALSE	TRUE	FALSE	FALSE
"KCNH2"	FALSE	FALSE	TRUE	FALSE	FALSE
"CCDC85A"	FALSE	FALSE	TRUE	FALSE	FALSE
"DLX3"	FALSE	FALSE	TRUE	FALSE	FALSE
"NGFR"	FALSE	FALSE	TRUE	FALSE	FALSE
"PTPN3"	FALSE	FALSE	TRUE	FALSE	FALSE
"PPP2R2C"	FALSE	FALSE	TRUE	FALSE	FALSE
"NEBL"	FALSE	FALSE	TRUE	FALSE	FALSE
"ADCYAP1R1"	FALSE	FALSE	TRUE	FALSE	FALSE
"NKAIN1"	FALSE	FALSE	TRUE	FALSE	FALSE
"EFR3B"	FALSE	FALSE	TRUE	FALSE	FALSE
"ABCB1"	FALSE	FALSE	TRUE	FALSE	FALSE
"CHGB"	FALSE	FALSE	TRUE	FALSE	FALSE
"BMP7"	FALSE	FALSE	TRUE	FALSE	FALSE
"RSPO4"	FALSE	FALSE	TRUE	FALSE	FALSE
"ASIP"	FALSE	FALSE	TRUE	FALSE	FALSE
"HTR2A"	FALSE	FALSE	TRUE	FALSE	FALSE
"ACP5"	FALSE	FALSE	TRUE	FALSE	FALSE
"WFDC1"	FALSE	FALSE	TRUE	FALSE	FALSE
"IL21R"	FALSE	FALSE	TRUE	FALSE	FALSE
"AP3B2"	FALSE	FALSE	TRUE	FALSE	FALSE
"CEMIP"	FALSE	FALSE	TRUE	FALSE	FALSE
"KCNA7"	FALSE	FALSE	TRUE	FALSE	FALSE
"EBI3"	FALSE	FALSE	TRUE	FALSE	FALSE
"TFEC"	FALSE	FALSE	TRUE	FALSE	FALSE
"WNT2"	FALSE	FALSE	TRUE	FALSE	FALSE
"DOCK8"	FALSE	FALSE	TRUE	FALSE	FALSE
"TYRP1"	FALSE	FALSE	TRUE	FALSE	FALSE
"GATA3"	FALSE	FALSE	TRUE	FALSE	FALSE
"CUBN"	FALSE	FALSE	TRUE	FALSE	FALSE
"RASD1"	FALSE	FALSE	TRUE	FALSE	FALSE
"CPZ"	FALSE	FALSE	TRUE	FALSE	FALSE
"ELMOD1"	FALSE	FALSE	TRUE	FALSE	FALSE
"GCNT2"	FALSE	FALSE	TRUE	FALSE	FALSE
"EYA4"	FALSE	FALSE	TRUE	FALSE	FALSE
"HES1"	FALSE	FALSE	TRUE	FALSE	FALSE
"OTOF"	FALSE	FALSE	TRUE	FALSE	FALSE
"ITGB6"	FALSE	FALSE	TRUE	FALSE	FALSE
"IGFBP5"	FALSE	FALSE	TRUE	FALSE	FALSE
"QPCT"	FALSE	FALSE	TRUE	FALSE	FALSE
"DLX2"	FALSE	FALSE	TRUE	FALSE	FALSE
"FBXO2"	FALSE	FALSE	TRUE	FALSE	FALSE
"GADD45A"	FALSE	FALSE	TRUE	FALSE	FALSE
"FAAH"	FALSE	FALSE	TRUE	FALSE	FALSE
"HSD11B1"	FALSE	FALSE	TRUE	FALSE	FALSE
"PROX1"	FALSE	FALSE	TRUE	FALSE	FALSE
"COLEC11"	FALSE	FALSE	TRUE	FALSE	FALSE
"A4GNT"	FALSE	FALSE	TRUE	FALSE	FALSE
"MMP8"	FALSE	FALSE	TRUE	FALSE	FALSE
"B4GALT6"	FALSE	FALSE	TRUE	FALSE	FALSE
"TCF21"	FALSE	FALSE	TRUE	FALSE	FALSE
"TRIM67"	FALSE	FALSE	TRUE	FALSE	FALSE
"PGF"	FALSE	FALSE	TRUE	FALSE	FALSE
"TECTB"	FALSE	FALSE	TRUE	FALSE	FALSE
"ELOVL3"	FALSE	FALSE	TRUE	FALSE	FALSE
"DUSP1"	FALSE	FALSE	TRUE	FALSE	FALSE
"EGR1"	FALSE	FALSE	TRUE	FALSE	FALSE
"CPXM2"	FALSE	FALSE	TRUE	FALSE	FALSE
"NUDT10"	FALSE	FALSE	TRUE	FALSE	FALSE
"EGR2"	FALSE	FALSE	TRUE	FALSE	FALSE
"ITIH5"	FALSE	FALSE	TRUE	FALSE	FALSE
"IL13RA2"	FALSE	FALSE	TRUE	FALSE	FALSE
"NRK"	FALSE	FALSE	TRUE	FALSE	FALSE
"ACVR1C"	FALSE	FALSE	TRUE	FALSE	FALSE
"GPR83"	FALSE	FALSE	TRUE	FALSE	FALSE
"DAW1"	FALSE	FALSE	TRUE	FALSE	FALSE
"HIF3A"	FALSE	FALSE	TRUE	FALSE	FALSE
"NRN1"	FALSE	FALSE	TRUE	FALSE	FALSE
"MT1G"	FALSE	FALSE	TRUE	FALSE	FALSE
"FOSB"	FALSE	FALSE	TRUE	FALSE	FALSE
"MGAT3"	FALSE	FALSE	TRUE	FALSE	FALSE
"MCHR1"	FALSE	FALSE	TRUE	FALSE	FALSE
"RNF112"	FALSE	FALSE	TRUE	FALSE	FALSE
"ATP1B2"	FALSE	FALSE	TRUE	FALSE	FALSE
"ADCY4"	FALSE	FALSE	TRUE	FALSE	FALSE
"GADD45G"	FALSE	FALSE	TRUE	FALSE	FALSE
"HRC"	FALSE	FALSE	TRUE	FALSE	FALSE
"KCNC3"	FALSE	FALSE	TRUE	FALSE	FALSE
"PTPRE"	FALSE	FALSE	TRUE	FALSE	FALSE
"SLC52A1"	FALSE	FALSE	TRUE	FALSE	FALSE
"BEX2"	FALSE	FALSE	TRUE	FALSE	FALSE
"GRP"	FALSE	FALSE	TRUE	FALSE	FALSE
"ENTREP1"	FALSE	FALSE	TRUE	FALSE	FALSE
"CD36"	FALSE	FALSE	TRUE	FALSE	FALSE
"EGR4"	FALSE	FALSE	TRUE	FALSE	FALSE
"ALPK3"	FALSE	FALSE	TRUE	FALSE	FALSE
"MYO7A"	FALSE	FALSE	TRUE	FALSE	FALSE
"BTG4"	FALSE	FALSE	TRUE	FALSE	FALSE
"PRKG2"	FALSE	FALSE	TRUE	FALSE	FALSE
"NKD1"	FALSE	FALSE	TRUE	FALSE	FALSE
"SLC14A1"	FALSE	FALSE	TRUE	FALSE	FALSE
"NECTIN4"	FALSE	FALSE	TRUE	FALSE	FALSE
"THSD7B"	FALSE	FALSE	TRUE	FALSE	FALSE
"ZNF385B"	FALSE	FALSE	TRUE	FALSE	FALSE
"TRPM8"	FALSE	FALSE	TRUE	FALSE	FALSE
"TAGLN3"	FALSE	FALSE	TRUE	FALSE	FALSE
"IGSF11"	FALSE	FALSE	TRUE	FALSE	FALSE
"MED12L"	FALSE	FALSE	TRUE	FALSE	FALSE
"IQGAP2"	FALSE	FALSE	TRUE	FALSE	FALSE
"CRH"	FALSE	FALSE	TRUE	FALSE	FALSE
"FCGR1A"	FALSE	FALSE	TRUE	FALSE	FALSE
"BMP3"	FALSE	FALSE	TRUE	FALSE	FALSE
"LMNTD1"	FALSE	FALSE	TRUE	FALSE	FALSE
"CLGN"	FALSE	FALSE	TRUE	FALSE	FALSE
"SLC25A27"	FALSE	FALSE	TRUE	FALSE	FALSE
"PGM5"	FALSE	FALSE	TRUE	FALSE	FALSE
"DKK2"	FALSE	FALSE	TRUE	FALSE	FALSE
"ART3"	FALSE	FALSE	TRUE	FALSE	FALSE
"FGF18"	FALSE	FALSE	TRUE	FALSE	FALSE
"ACAN"	FALSE	FALSE	TRUE	FALSE	FALSE
"GIP"	FALSE	FALSE	TRUE	FALSE	FALSE
"CLDN14"	FALSE	FALSE	TRUE	FALSE	FALSE
"M1AP"	FALSE	FALSE	TRUE	FALSE	FALSE
"BTG2"	FALSE	FALSE	TRUE	FALSE	FALSE
"RGL4"	FALSE	FALSE	TRUE	FALSE	FALSE
"FTCD"	FALSE	FALSE	TRUE	FALSE	FALSE
"MPZL3"	FALSE	FALSE	TRUE	FALSE	FALSE
"PDPN"	FALSE	FALSE	TRUE	FALSE	FALSE
"TRIM58"	FALSE	FALSE	TRUE	FALSE	FALSE
"CCDC140"	FALSE	FALSE	TRUE	FALSE	FALSE
"CLDN1"	FALSE	FALSE	TRUE	FALSE	FALSE
"KBTBD8"	FALSE	FALSE	TRUE	FALSE	FALSE
"HAND2"	FALSE	FALSE	TRUE	FALSE	FALSE
"ADGRV1"	FALSE	FALSE	TRUE	FALSE	FALSE
"F2RL2"	FALSE	FALSE	TRUE	FALSE	FALSE
"ZNF704"	FALSE	FALSE	TRUE	FALSE	FALSE
"TNFRSF11B"	FALSE	FALSE	TRUE	FALSE	FALSE
"METTL27"	FALSE	FALSE	TRUE	FALSE	FALSE
"FAT3"	FALSE	FALSE	TRUE	FALSE	FALSE
"SCN3B"	FALSE	FALSE	TRUE	FALSE	FALSE
"SYNPO2L"	FALSE	FALSE	TRUE	FALSE	FALSE
"TVP23A"	FALSE	FALSE	TRUE	FALSE	FALSE
"SCG5"	FALSE	FALSE	TRUE	FALSE	FALSE
"IGF2"	FALSE	FALSE	TRUE	FALSE	FALSE
"SOAT2"	FALSE	FALSE	TRUE	FALSE	FALSE
"HID1"	FALSE	FALSE	TRUE	FALSE	FALSE
"GDNF"	FALSE	FALSE	TRUE	FALSE	FALSE
"INPP5D"	FALSE	FALSE	TRUE	FALSE	FALSE
"ZFPM2"	FALSE	FALSE	TRUE	FALSE	FALSE
"ZPLD1"	FALSE	FALSE	TRUE	FALSE	FALSE
"FOXD4"	FALSE	FALSE	TRUE	FALSE	FALSE
"HOXD4"	FALSE	FALSE	TRUE	FALSE	FALSE
"FOS"	FALSE	FALSE	TRUE	FALSE	FALSE
"DMRT2"	FALSE	FALSE	TRUE	FALSE	FALSE
"NDNF"	FALSE	FALSE	TRUE	FALSE	FALSE
"HAP1"	FALSE	FALSE	TRUE	FALSE	FALSE
"DES"	FALSE	FALSE	TRUE	FALSE	FALSE
"DOK7"	FALSE	FALSE	TRUE	FALSE	FALSE
"LRRN1"	FALSE	FALSE	TRUE	FALSE	FALSE
"TMPRSS7"	FALSE	FALSE	TRUE	FALSE	FALSE
"CLEC14A"	FALSE	FALSE	TRUE	FALSE	FALSE
"C8G"	FALSE	FALSE	TRUE	FALSE	FALSE
"MUC20"	FALSE	FALSE	TRUE	FALSE	FALSE
"SCN4B"	FALSE	FALSE	TRUE	FALSE	FALSE
