"240313_ICP4"	"240313_n208"	"240501_ICP4"	"240501_RR_LL"	"240710_RR_LL"	"240814_ICP4"	"240814_RR_LL"	"240904_ICP4"	"240904_n208"	"240905_ICP4"	"240905_n208"	"240926_ICP4"
"ENSG00000087338"	441	1729	297	427	429	314	295	1145	1022	1350	1203	1197
"ENSG00000087365"	6942	23552	8110	5944	5619	5804	7564	25029	16925	21547	17619	15289
"ENSG00000087448"	1044	4041	1287	721	844	643	672	2643	2540	3738	3637	2628
"ENSG00000087460"	19844	72722	25617	23125	22186	20828	26061	76848	59467	65246	63042	65006
"ENSG00000087470"	1976	8839	2413	1908	1966	1458	1883	7361	6956	8996	8735	7026
"ENSG00000087494"	39	115	100	56	220	40	38	87	192	104	158	206
"ENSG00000087495"	0	6	0	0	5	4	0	0	13	0	6	2
"ENSG00000087502"	1014	4878	1184	995	1079	903	1082	4296	3667	4750	4303	3828
"ENSG00000087510"	449	1481	389	297	389	310	312	1417	998	1459	1165	1219
"ENSG00000087586"	3578	15216	1514	667	405	1173	2212	8539	4243	11747	4659	1910
"ENSG00000087589"	3	42	17	33	29	16	3	53	66	74	75	150
"ENSG00000087842"	113	333	90	40	33	88	104	368	311	595	229	322
"ENSG00000087884"	125	519	178	178	168	197	271	827	595	737	618	1065
"ENSG00000087903"	118	441	140	155	123	152	151	560	502	565	458	709
"ENSG00000087995"	540	2252	567	469	362	311	519	1674	1540	1576	1639	1417
"ENSG00000088002"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000088035"	147	790	126	151	104	105	100	623	399	577	326	444
"ENSG00000088038"	1204	4630	1253	891	1013	1020	1246	4363	3417	3827	3534	2538
"ENSG00000088053"	0	0	0	1	1	3	5	2	2	4	0	0
"ENSG00000088179"	237	964	310	234	284	197	263	755	1134	1087	1285	990
"ENSG00000088205"	2767	12891	2031	1559	1461	1511	1982	7792	5689	8735	6464	4279
"ENSG00000088247"	5488	19679	4862	3218	2712	3541	4581	17360	10559	16016	12174	8180
"ENSG00000088256"	2058	7726	2463	1980	1673	1909	2119	6223	5593	6306	7293	5765
"ENSG00000088280"	274	1239	426	433	412	271	321	1734	2050	1265	1791	2455
"ENSG00000088298"	492	1814	892	691	816	599	629	3110	2644	2257	2412	2834
"ENSG00000088305"	218	652	75	61	81	71	73	442	239	428	222	381
"ENSG00000088320"	0	0	0	0	0	0	0	0	0	0	3	0
"ENSG00000088325"	8091	32970	3289	1558	951	2634	4472	19122	9232	24637	10402	3976
"ENSG00000088340"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000088356"	517	2427	656	584	683	663	737	2537	2321	2018	2357	2044
"ENSG00000088367"	575	2289	1570	922	1184	1076	1328	3390	3373	2623	3624	4489
"ENSG00000088386"	0	1	3	0	1	0	0	1	3	0	0	5
"ENSG00000088387"	581	2195	726	556	951	530	594	1487	1777	1712	2014	1675
"ENSG00000088448"	677	2499	932	609	1092	395	416	2650	2512	2406	2070	2180
"ENSG00000088451"	349	1653	291	266	228	243	319	1057	1152	1067	1174	1156
"ENSG00000088538"	8	48	47	37	76	37	20	70	67	73	81	172
"ENSG00000088543"	221	898	478	367	336	508	340	1687	1001	1386	1200	1644
"ENSG00000088682"	645	2202	698	585	508	467	525	2624	2047	1705	1814	1829
"ENSG00000088726"	0	1	0	0	3	4	0	11	5	3	7	10
"ENSG00000088727"	94	268	72	100	67	42	108	301	265	281	301	323
"ENSG00000088756"	1	17	2	3	9	13	6	29	16	27	51	118
"ENSG00000088766"	74	431	30	70	87	59	57	401	332	348	360	232
"ENSG00000088782"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000088808"	151	635	72	91	145	153	181	523	716	487	648	671
"ENSG00000088812"	1933	9001	2863	3050	3137	2349	2518	5379	7798	7755	7761	8848
"ENSG00000088826"	317	1271	704	320	481	382	473	1134	1479	930	1393	1297
"ENSG00000088827"	0	4	0	0	0	7	0	15	12	6	8	3
"ENSG00000088832"	5961	23023	12989	9489	9159	9172	10131	33708	20985	26949	25671	27805
"ENSG00000088833"	1858	6743	2079	1862	1619	1731	2408	7565	4772	6131	5249	4942
"ENSG00000088836"	101	404	140	96	235	94	137	529	592	369	553	791
"ENSG00000088854"	820	3484	1303	1186	1681	850	1175	2735	3584	3372	4291	4599
"ENSG00000088876"	356	1286	333	243	224	242	205	964	847	784	830	774
"ENSG00000088881"	31	75	7	6	11	4	0	33	89	21	77	11
"ENSG00000088882"	259	956	105	39	76	15	45	975	1084	789	714	69
"ENSG00000088888"	3770	12367	5074	4130	4613	3885	4785	11370	10752	14786	13720	11926
"ENSG00000088899"	59	341	251	175	250	142	198	605	742	403	739	900
"ENSG00000088926"	0	0	0	3	0	0	0	0	0	4	0	0
"ENSG00000088930"	2873	12165	2583	2306	2594	2170	2734	11051	8684	11791	9417	8441
"ENSG00000088970"	204	583	236	155	218	171	169	721	802	894	733	1043
"ENSG00000088986"	7199	27910	6861	6859	5644	5319	7059	34415	21990	30828	22961	22055
"ENSG00000088992"	0	0	0	0	0	0	0	1	2	1	4	3
"ENSG00000089006"	1775	8715	1651	1256	1321	1138	1638	8266	5946	8292	6438	4880
"ENSG00000089009"	15311	65627	15824	13156	13029	12524	16112	72828	43239	66747	47976	41584
"ENSG00000089012"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000089022"	848	3055	723	557	593	480	722	2614	1720	2317	1959	1737
"ENSG00000089041"	18	84	32	20	20	18	28	114	94	62	84	31
"ENSG00000089048"	1043	4423	709	846	682	595	869	2758	3146	2852	2501	1891
"ENSG00000089050"	641	2896	691	629	642	609	630	2193	2027	2077	2219	1757
"ENSG00000089053"	2932	12071	3697	3201	3468	3120	3444	13867	9752	11539	9727	11851
"ENSG00000089057"	807	3530	836	599	922	575	734	2268	2668	2577	2615	2695
"ENSG00000089060"	379	1333	373	266	342	238	224	982	1006	956	849	904
"ENSG00000089063"	1973	8470	2442	2108	2290	2208	2444	9441	7476	8399	8716	9360
"ENSG00000089091"	63	188	67	45	31	67	49	239	249	206	261	227
"ENSG00000089094"	559	2435	590	463	465	618	511	2713	1871	1933	1428	1818
"ENSG00000089101"	2	3	2	0	0	0	0	0	1	1	6	3
"ENSG00000089116"	0	0	0	0	0	0	0	0	1	5	5	1
"ENSG00000089123"	156	662	161	107	93	148	115	473	516	519	632	513
"ENSG00000089127"	4	13	4	2	2	3	0	44	17	36	58	4
"ENSG00000089154"	4984	16844	5815	5198	4818	4325	4992	15242	13191	16802	14833	14996
"ENSG00000089157"	39145	150316	35140	33953	31833	34638	42740	166028	117724	136733	113459	94329
"ENSG00000089159"	4521	15875	5915	4137	3809	4420	5033	14197	10134	11292	12273	8720
"ENSG00000089163"	13	46	36	39	15	40	30	106	152	114	155	202
"ENSG00000089169"	0	0	0	0	0	0	0	0	1	0	2	0
"ENSG00000089177"	309	1242	180	145	194	295	403	957	1195	1033	1048	1135
"ENSG00000089195"	734	3046	750	552	520	460	650	2573	2349	2478	2417	1686
"ENSG00000089199"	2	19	0	6	5	4	5	63	45	28	32	80
"ENSG00000089220"	3855	18098	5816	4391	4887	5288	6619	23698	15915	21853	20196	19693
"ENSG00000089225"	725	2532	1391	829	481	964	1110	4395	3415	4635	4310	3375
"ENSG00000089234"	601	2384	712	604	776	536	681	1914	2463	2223	2524	2687
"ENSG00000089248"	2856	10926	3265	2524	2574	2314	3360	13703	8722	11050	8447	8544
"ENSG00000089250"	0	0	0	0	0	0	0	0	0	0	7	7
"ENSG00000089280"	10749	47348	10265	5856	4257	7054	8541	50278	23959	32191	28839	19627
"ENSG00000089289"	644	2591	867	745	890	766	898	3435	2736	3196	2903	2972
"ENSG00000089327"	4571	16977	6508	5708	5132	5060	5934	19326	13389	14146	14943	11102
"ENSG00000089335"	352	2042	379	422	486	267	365	1852	1866	1921	1672	1786
"ENSG00000089351"	870	3316	1025	653	767	769	912	3126	2636	2187	2758	2247
"ENSG00000089356"	0	0	0	0	0	0	0	0	2	0	3	0
"ENSG00000089472"	582	2316	462	436	490	413	536	1617	2660	1805	2033	1463
"ENSG00000089486"	324	1320	1267	1097	1040	905	1171	2313	2427	1778	2772	4165
"ENSG00000089505"	42	88	26	35	25	22	15	73	78	84	71	60
"ENSG00000089558"	0	6	1	0	0	0	0	7	7	5	9	13
"ENSG00000089597"	15004	60503	18875	16057	15347	14145	16293	55945	48796	65554	54257	50722
"ENSG00000089639"	294	1091	508	488	481	384	378	1320	1231	863	1557	1497
"ENSG00000089682"	419	1655	307	444	410	335	404	1254	1353	1620	1462	1223
"ENSG00000089685"	4008	15689	1721	969	338	1533	2723	12935	4253	12538	5555	2372
"ENSG00000089692"	17	87	7	0	2	4	0	73	11	46	10	13
"ENSG00000089693"	4809	18979	5460	5176	4382	4738	5708	19959	16110	16906	18165	15241
"ENSG00000089723"	32	144	108	64	77	62	77	81	122	128	167	195
"ENSG00000089737"	5685	24260	6379	5124	5787	5099	6324	22657	21584	19503	19483	20853
"ENSG00000089775"	153	722	165	116	174	124	132	634	564	465	525	519
"ENSG00000089818"	672	2461	743	543	583	655	673	2374	2048	2430	2284	2010
"ENSG00000089820"	3	25	14	6	11	0	4	35	19	25	27	49
"ENSG00000089847"	16	30	24	31	39	4	7	68	139	35	92	237
"ENSG00000089876"	660	2664	813	575	731	556	569	2144	2456	2436	2292	3043
"ENSG00000089902"	1205	4393	1225	1042	1039	848	1182	3249	2654	4480	3057	2547
"ENSG00000089916"	1161	4714	1444	1072	1464	948	1035	2964	4266	3866	4702	4062
"ENSG00000090006"	789	2469	449	443	376	413	368	2103	2246	1655	1910	1749
"ENSG00000090013"	633	2184	634	651	460	536	608	3132	1649	1920	1546	2000
"ENSG00000090020"	2138	6750	3316	2703	3768	2779	2815	7455	12045	6381	11877	12069
"ENSG00000090054"	2042	8842	2479	2187	2268	1841	2333	7384	6440	8013	6925	6366
"ENSG00000090060"	3539	15885	3264	2633	2909	2217	3091	11764	10656	15055	13277	10375
"ENSG00000090061"	557	2097	586	466	480	538	691	2001	1614	2218	1764	1783
"ENSG00000090097"	1042	3715	1300	1083	1007	1132	1342	4806	3648	3970	4243	3269
"ENSG00000090104"	0	0	0	3	0	0	0	2	2	0	4	4
"ENSG00000090238"	158	687	362	363	479	372	400	1301	1396	941	1375	1426
"ENSG00000090263"	654	2600	720	476	563	537	717	3316	2304	3107	2384	1940
"ENSG00000090266"	587	2437	637	785	674	733	1094	3037	2335	2591	2385	2589
"ENSG00000090273"	3757	13548	3323	2806	2380	2635	3857	14147	7696	10219	8216	7083
"ENSG00000090316"	1661	6689	2343	1920	1900	1763	2080	6959	4969	6291	5711	6241
"ENSG00000090339"	503	1681	169	276	1245	132	94	1300	2627	611	1283	1310
"ENSG00000090372"	1955	6378	1731	1430	1422	1309	1500	5700	4330	5192	4839	4364
"ENSG00000090376"	277	1230	240	176	147	121	152	587	770	775	672	381
"ENSG00000090382"	0	2	5	0	1	0	0	1	0	2	0	0
"ENSG00000090402"	0	0	0	6	0	0	0	0	1	0	8	2
"ENSG00000090432"	1071	4111	1325	1338	1559	1092	1196	3488	3701	3259	3499	3430
"ENSG00000090447"	151	793	130	48	39	91	114	728	307	510	315	173
"ENSG00000090470"	674	3341	649	528	388	462	600	2647	2126	2576	2065	1712
"ENSG00000090487"	1636	7510	2076	1290	1819	1417	1722	7629	6196	5883	5094	4832
"ENSG00000090512"	0	0	2	0	0	0	0	3	2	0	1	19
"ENSG00000090520"	1328	5351	1298	1446	1081	1078	1426	4673	3884	5111	4135	3786
"ENSG00000090530"	199	900	801	847	1588	262	311	1091	1404	1646	1457	1223
"ENSG00000090534"	0	7	0	2	0	0	0	3	7	4	9	4
"ENSG00000090539"	63	182	41	18	63	35	41	68	236	60	191	85
"ENSG00000090554"	0	11	0	0	2	0	0	10	3	6	0	0
"ENSG00000090565"	1418	5268	1516	1523	1643	1250	1575	4985	5238	4133	4898	5475
"ENSG00000090581"	757	3161	1044	1385	1725	1038	1203	4974	4960	2755	3616	6549
"ENSG00000090612"	416	1792	508	379	507	270	341	977	1133	1640	1275	1067
"ENSG00000090615"	3991	11527	5068	4374	3780	2968	3871	8410	8501	11427	11783	9481
"ENSG00000090621"	3751	15413	4108	3321	3125	3272	4220	13053	11609	12568	12386	10877
"ENSG00000090659"	0	0	0	0	0	0	0	1	1	0	0	0
"ENSG00000090661"	4	21	1	14	17	2	2	32	86	13	36	56
"ENSG00000090674"	739	2635	955	931	1363	1085	1156	4385	3786	1889	2525	2882
"ENSG00000090686"	1509	6048	1612	1383	1508	1117	1383	5044	4664	6195	5077	4440
"ENSG00000090776"	322	941	510	281	288	426	266	1193	1672	1420	1612	3799
"ENSG00000090857"	743	2889	600	425	522	719	731	2615	2506	2954	2408	2506
"ENSG00000090861"	4192	14170	7048	4746	5243	3854	4796	13771	15696	17244	11818	11843
"ENSG00000090863"	5591	21598	10202	7979	8208	6715	7141	18166	20873	25135	22311	25253
"ENSG00000090889"	2277	9119	802	445	192	609	1037	5418	2451	6629	2618	934
"ENSG00000090905"	2282	8824	2580	1844	2024	1839	2078	6566	6157	8995	7257	5237
"ENSG00000090924"	1018	4008	1088	698	777	815	938	4456	3255	4323	3800	2216
"ENSG00000090932"	11	46	0	11	3	4	26	40	26	33	20	26
"ENSG00000090971"	303	1326	627	350	307	431	346	1900	1169	1323	1470	944
"ENSG00000090975"	166	554	242	174	184	125	94	267	279	245	273	386
"ENSG00000090989"	809	3386	1207	983	1135	751	909	3114	3116	3257	3191	3195
"ENSG00000091009"	260	1260	246	235	163	219	212	603	762	1022	1165	802
"ENSG00000091010"	5	11	0	0	4	11	5	6	9	6	7	12
"ENSG00000091039"	2955	11786	3967	3746	5946	2645	3069	6450	9394	8819	9223	8620
"ENSG00000091073"	170	687	155	197	184	177	215	714	673	541	673	715
"ENSG00000091106"	4	8	5	0	3	0	0	12	20	8	1	5
"ENSG00000091127"	705	2729	476	398	452	429	662	2088	1276	1909	1472	1567
"ENSG00000091128"	2	2	9	0	1	5	0	19	18	19	13	15
"ENSG00000091129"	50	118	103	111	177	46	21	55	198	77	199	373
"ENSG00000091136"	7731	32247	9417	6727	11410	7619	8558	26373	39781	34891	37658	43140
"ENSG00000091137"	6	27	13	7	10	0	1	22	27	31	26	26
"ENSG00000091138"	1	0	0	0	0	0	0	0	4	0	0	1
"ENSG00000091140"	1617	7475	2341	2240	1850	1948	2451	7457	6806	8770	7936	6873
"ENSG00000091157"	583	2186	561	709	620	377	536	1320	2044	1958	2002	1691
"ENSG00000091164"	1906	8487	2220	1609	1594	1687	2053	7907	6627	8221	7896	5805
"ENSG00000091181"	0	0	0	0	0	0	0	3	0	0	3	1
"ENSG00000091262"	2	10	9	0	3	4	0	16	13	25	16	36
"ENSG00000091317"	2354	11523	3374	2489	2701	2063	2646	8921	7541	10398	9477	7244
"ENSG00000091409"	3298	13522	4243	2896	2083	2908	3790	7394	6051	11266	9868	6462
"ENSG00000091428"	0	15	0	0	2	0	2	35	27	59	12	25
"ENSG00000091436"	3592	14283	4258	3014	3147	2995	3989	10233	8265	14236	12647	8591
"ENSG00000091482"	0	0	0	0	0	0	0	0	0	0	0	3
"ENSG00000091483"	2317	9131	1746	1667	1558	1413	1816	8863	5521	8440	5474	4053
"ENSG00000091490"	435	1431	1756	1020	1088	606	879	1040	1168	1812	1146	2087
"ENSG00000091513"	3	9	3	3	1	0	0	7	17	11	1	17
"ENSG00000091527"	8001	32635	7647	5788	5992	5654	7247	19817	20662	25910	25354	17373
"ENSG00000091536"	6	24	11	9	5	9	7	45	50	24	30	35
"ENSG00000091542"	2089	6997	2254	1778	1591	2989	2458	8969	6422	9103	7796	12543
"ENSG00000091583"	0	1	0	0	0	0	0	4	4	0	0	6
"ENSG00000091592"	770	2922	720	775	746	834	863	3417	4245	3134	5045	4117
"ENSG00000091622"	202	542	513	497	443	193	174	411	608	529	661	843
"ENSG00000091640"	1053	3948	1391	1265	1330	1083	1260	5082	3561	3742	3388	3631
"ENSG00000091651"	1139	5559	425	290	293	451	782	4311	1979	3147	1672	864
"ENSG00000091656"	182	738	359	347	343	244	271	612	1079	1121	1265	1233
"ENSG00000091664"	0	0	0	0	0	0	0	0	0	0	0	4
"ENSG00000091704"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000091732"	445	1901	544	361	438	412	512	1895	1442	1801	1529	1167
"ENSG00000091831"	13	73	22	17	15	0	8	33	69	46	62	43
"ENSG00000091844"	31	102	59	43	44	27	14	204	95	175	113	143
"ENSG00000091879"	2	5	0	0	0	0	4	9	8	15	12	4
"ENSG00000091947"	456	1685	419	471	362	323	382	1674	1153	1450	999	990
"ENSG00000091972"	0	0	5	0	3	0	0	0	3	0	0	5
"ENSG00000091986"	32875	101268	43276	51942	23818	39067	42648	38692	54856	68075	73980	92715
"ENSG00000092009"	0	0	0	3	0	0	0	0	0	0	0	0
"ENSG00000092010"	1341	5479	1369	974	1061	780	1034	7533	3866	5975	4244	2858
"ENSG00000092020"	332	1403	239	234	209	233	254	1208	986	1087	1080	831
"ENSG00000092036"	94	447	66	45	38	56	82	438	197	345	198	173
"ENSG00000092051"	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000092054"	0	0	0	0	0	0	0	0	1	0	0	5
"ENSG00000092067"	2	5	0	0	0	0	0	4	3	5	0	0
"ENSG00000092068"	3424	11639	8165	2792	3987	5442	6143	17466	13849	9779	8631	8002
"ENSG00000092094"	495	2179	492	301	331	328	439	2448	1527	1625	1360	1310
"ENSG00000092096"	332	1035	489	557	372	371	405	1587	1382	1015	1177	1433
"ENSG00000092098"	4	82	12	7	11	14	12	83	43	70	39	23
"ENSG00000092108"	1468	5274	1922	1738	1548	1347	1589	5297	5560	6548	7067	5616
"ENSG00000092140"	868	4633	426	406	270	313	494	2104	1657	2917	1939	1072
"ENSG00000092148"	3499	14774	5281	4255	4813	2935	3240	10310	13526	16890	15749	13553
"ENSG00000092199"	11419	51710	13898	9935	9023	8912	11620	48716	37234	59739	40999	35608
"ENSG00000092200"	9	18	8	0	0	8	0	19	3	13	4	5
"ENSG00000092201"	5260	22356	4693	2881	3060	3012	4182	16064	11922	19744	12934	8786
"ENSG00000092203"	1870	6987	2260	1862	1925	1939	2469	7483	6129	7928	7172	7708
"ENSG00000092208"	167	693	98	119	125	86	144	520	234	576	212	229
"ENSG00000092295"	16	78	23	14	17	24	3	70	89	58	43	44
"ENSG00000092330"	822	3259	1293	1074	929	1100	1086	3718	3005	3592	3074	4173
"ENSG00000092345"	0	6	0	0	0	0	0	2	2	1	0	3
"ENSG00000092377"	0	0	0	0	0	0	0	0	0	0	0	2
"ENSG00000092421"	37	99	60	59	70	182	39	562	152	533	206	1959
"ENSG00000092439"	1917	8306	2341	2039	2577	1546	1735	5083	7771	6003	7225	6483
"ENSG00000092445"	957	3584	1312	875	1134	924	1148	4362	3526	3354	3279	3517
"ENSG00000092470"	946	4722	274	184	194	218	340	3799	1845	3512	1777	513
"ENSG00000092529"	47	127	16	7	17	29	11	150	113	90	109	58
"ENSG00000092531"	447	1439	766	631	669	553	751	1853	1530	1953	1777	2040
"ENSG00000092607"	568	2435	589	310	336	619	770	2401	2912	3155	3426	2142
"ENSG00000092621"	5053	16923	2530	1945	1250	1636	2098	5291	6146	12417	4704	3262
"ENSG00000092758"	1	8	1	4	0	6	0	7	18	9	4	10
"ENSG00000092820"	4895	15594	3531	2854	2870	3646	4752	12935	8626	13880	11539	9832
"ENSG00000092841"	15393	61046	17602	17711	14636	18123	24723	68249	43274	61179	55835	46983
"ENSG00000092847"	1298	4609	1387	982	855	888	999	3248	2991	4451	3652	2972
"ENSG00000092850"	0	9	0	0	0	0	9	4	16	15	4	6
"ENSG00000092853"	1218	4813	451	211	266	336	504	3716	2014	4303	2065	823
"ENSG00000092871"	198	733	259	175	145	164	186	557	674	857	674	544
"ENSG00000092929"	11	57	14	7	14	0	20	49	42	6	25	18
"ENSG00000092931"	305	1407	683	747	824	448	636	1874	1925	1643	1829	2213
"ENSG00000092964"	2791	9230	5315	3452	4185	3311	3774	10780	8142	8796	7281	8401
"ENSG00000092969"	87	260	32	92	153	93	177	214	434	131	474	545
"ENSG00000092978"	366	1462	437	348	412	287	351	1033	1531	1381	2024	1425
"ENSG00000093000"	2882	11044	1944	1418	1695	1388	2076	6056	4893	8244	5613	4008
"ENSG00000093009"	629	2710	201	126	100	216	261	2298	981	1899	806	347
"ENSG00000093010"	1857	5796	2621	2667	2614	2411	2837	7450	6153	6279	6869	7634
"ENSG00000093072"	67	253	149	121	126	106	86	238	329	311	373	283
"ENSG00000093100"	0	4	0	3	4	0	0	6	3	9	1	0
"ENSG00000093134"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000093144"	1561	6459	1582	1402	1287	1391	1552	6730	5156	6580	5338	4392
"ENSG00000093167"	3490	13816	3368	2337	2714	2765	3916	10403	9255	11976	12204	10279
"ENSG00000093183"	1574	6890	1794	1860	1796	1272	1651	5582	4298	5814	4084	3734
"ENSG00000093217"	215	976	222	180	309	245	248	765	740	584	637	645
"ENSG00000094631"	707	2330	577	361	491	309	438	2706	1840	2192	1519	1462
"ENSG00000094661"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000094755"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000094796"	0	0	0	0	0	0	0	6	1	0	1	3
"ENSG00000094804"	1740	7630	528	404	429	363	648	5595	3347	6185	2882	916
"ENSG00000094841"	240	829	245	171	254	164	220	761	856	831	818	733
"ENSG00000094880"	1080	4802	986	997	910	847	1076	3678	2714	3915	2842	2672
"ENSG00000094914"	1089	4165	979	872	669	731	1094	4630	2921	3522	2665	2553
"ENSG00000094916"	5466	17748	4248	3015	2591	2943	3455	11046	8250	18311	10259	8208
"ENSG00000094963"	0	0	0	0	0	0	0	0	0	0	1	0
"ENSG00000094975"	1515	6226	1673	1726	1976	1527	1657	3865	5093	6245	6094	5948
"ENSG00000095002"	1283	5821	633	535	640	511	641	4134	2742	4678	2778	1085
"ENSG00000095015"	268	1034	189	96	200	122	156	548	636	688	786	679
"ENSG00000095059"	50	154	55	28	10	33	47	195	97	74	78	34
"ENSG00000095066"	172	659	303	240	260	212	239	977	730	696	757	724
"ENSG00000095110"	0	2	0	0	0	0	0	3	17	7	9	11
"ENSG00000095139"	9215	38402	11109	9786	9933	7827	9147	27510	30655	36315	36522	29289
"ENSG00000095203"	14	34	2	25	6	2	38	28	27	19	29	23
"ENSG00000095209"	347	1614	433	323	568	391	421	1950	1907	1161	1125	1559
"ENSG00000095261"	1602	7373	2118	1817	1527	1340	1518	5622	4949	7224	6481	5074
"ENSG00000095303"	4414	15535	4271	2900	3715	3505	3675	22055	16088	15215	16706	13512
"ENSG00000095319"	3834	14889	2710	2259	2424	2125	2706	11986	9410	11165	8930	6428
"ENSG00000095321"	1226	4416	2185	1685	1508	1482	1914	4828	3977	3741	4244	4990
"ENSG00000095370"	0	0	0	0	2	0	0	1	1	3	0	3
"ENSG00000095380"	835	3108	759	860	902	763	1027	3701	2512	3000	2271	2800
"ENSG00000095383"	1674	4928	2253	1958	2851	1507	2025	4442	4193	3205	3308	4027
"ENSG00000095397"	63	213	292	205	276	110	48	459	602	293	447	621
"ENSG00000095464"	6	7	4	0	1	7	0	4	3	11	0	0
"ENSG00000095485"	814	3083	646	490	408	444	586	2521	1698	2583	2003	1565
"ENSG00000095539"	20	107	60	37	40	25	19	128	81	66	90	76
"ENSG00000095564"	1225	4940	954	840	1029	633	793	3254	3667	4283	3768	3331
"ENSG00000095574"	251	930	300	232	240	253	321	707	836	927	1017	962
"ENSG00000095585"	0	1	0	0	6	0	0	0	1	0	2	1
"ENSG00000095587"	12	57	50	54	39	104	30	240	107	248	164	1333
"ENSG00000095596"	0	0	0	0	0	0	0	0	0	1	0	3
"ENSG00000095627"	1	15	0	0	0	2	3	7	7	14	16	15
"ENSG00000095637"	36	55	61	44	74	18	10	55	97	133	150	316
"ENSG00000095713"	0	1	0	0	0	0	0	6	5	0	4	20
"ENSG00000095739"	55	202	67	70	69	78	44	346	408	392	466	709
"ENSG00000095752"	1767	7103	1435	774	1127	835	1009	3445	3500	3006	4543	1526
"ENSG00000095777"	0	0	0	0	1	0	0	0	0	0	1	4
"ENSG00000095787"	2393	10503	2532	1915	2397	2053	2457	7911	9539	10563	11806	9902
"ENSG00000095794"	279	1298	359	334	308	256	328	1555	1317	1478	1427	1187
"ENSG00000095906"	745	2898	839	689	527	733	795	3691	2053	2497	2165	2348
"ENSG00000095917"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000095932"	0	0	0	0	2	0	0	1	3	0	3	0
"ENSG00000095951"	651	2144	716	472	622	399	322	1129	1914	1313	1361	1925
"ENSG00000095970"	0	0	0	0	0	0	0	2	0	0	4	7
"ENSG00000095981"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000096006"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000096060"	797	3788	233	120	133	329	428	2666	1638	3443	1728	1922
"ENSG00000096063"	1212	5046	1139	756	976	925	1120	4098	2870	4364	3569	3164
"ENSG00000096070"	1233	5151	1415	1211	1465	1063	1242	4501	5450	5088	5659	4514
"ENSG00000096080"	285	927	325	213	250	224	356	1262	683	947	673	765
"ENSG00000096088"	0	0	0	0	0	0	0	0	0	0	2	0
"ENSG00000096092"	416	1853	471	402	395	361	550	2275	1596	2022	1922	1621
"ENSG00000096093"	277	1071	223	278	245	216	221	1400	1018	1021	1105	1075
"ENSG00000096264"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000096384"	36448	151242	35783	30946	28991	28162	37865	125754	89488	128294	113242	86261
"ENSG00000096395"	0	0	0	0	1	0	0	1	0	0	0	0
"ENSG00000096401"	1836	7419	1695	1176	1280	1076	1564	5409	5197	7103	5587	4160
"ENSG00000096433"	3793	13536	4554	3295	5378	1944	2017	14131	9706	7208	7783	5769
"ENSG00000096654"	166	775	100	69	130	85	144	588	639	692	460	525
"ENSG00000096696"	2043	5946	4898	4439	7360	2690	3291	4724	9774	6591	11171	12407
"ENSG00000096717"	1031	3919	680	516	727	669	660	2854	2742	3007	2578	4070
"ENSG00000096746"	5216	21204	3917	2892	1994	2940	3995	19357	10943	18502	10387	8120
"ENSG00000096872"	294	1239	242	268	208	199	283	1266	1181	1230	1075	1080
"ENSG00000096968"	447	1542	351	284	279	274	374	958	967	1396	952	1256
"ENSG00000096996"	0	9	0	0	3	0	0	9	3	4	0	0
"ENSG00000097007"	5852	19036	5246	4138	4413	4583	5030	12073	17472	12315	18851	19429
"ENSG00000097021"	1887	6837	2218	1988	1983	1870	2106	7258	4938	5348	5672	5532
"ENSG00000097033"	3150	12352	4118	3572	4027	3034	3871	10374	9752	12179	11559	10770
"ENSG00000097046"	401	2185	185	104	108	113	151	1563	663	1438	662	294
"ENSG00000097096"	206	806	208	168	300	176	158	503	813	727	1052	869
"ENSG00000099139"	68	227	205	130	158	88	92	335	447	378	449	1870
"ENSG00000099194"	4286	19392	10350	7532	13679	9573	11232	37427	27216	20318	15639	21927
"ENSG00000099203"	231	777	342	256	207	318	317	1225	891	930	986	1109
"ENSG00000099204"	405	1411	993	776	880	631	686	1816	1992	2928	3127	2974
"ENSG00000099219"	451	1875	391	374	393	409	419	1587	2092	1977	1795	1779
"ENSG00000099246"	2482	10810	3298	2849	2859	2715	3560	9413	8768	9430	10234	9688
"ENSG00000099250"	9215	36049	12079	7015	6713	6874	7549	23613	24167	35943	30831	23754
"ENSG00000099251"	0	0	0	0	0	0	0	2	0	1	0	0
"ENSG00000099256"	346	1618	445	251	266	317	372	1908	1097	2170	1253	874
"ENSG00000099260"	0	27	60	64	109	0	4	64	38	62	63	337
"ENSG00000099282"	9	31	43	12	5	12	23	120	43	122	94	56
