"SRR19779315"	"SRR19779318"	"SRR19779319"
"ENSG00000162384"	413	118	1128
"ENSG00000162385"	261	71	512
"ENSG00000162390"	23	24	107
"ENSG00000162391"	3	0	9
"ENSG00000162396"	68	23	192
"ENSG00000162398"	0	4	5
"ENSG00000162399"	1	4	0
"ENSG00000162402"	7467	1764	6158
"ENSG00000162407"	450	66	5071
"ENSG00000162408"	1126	357	2789
"ENSG00000162409"	1199	91	518
"ENSG00000162413"	1429	932	3058
"ENSG00000162415"	94	126	33
"ENSG00000162419"	210	122	776
"ENSG00000162426"	16	20	168
"ENSG00000162430"	477	194	6031
"ENSG00000162433"	26	16	35
"ENSG00000162434"	5068	1600	13216
"ENSG00000162437"	625	232	592
"ENSG00000162438"	2	7	1
"ENSG00000162441"	279	110	1509
"ENSG00000162444"	0	9	0
"ENSG00000162456"	0	11	0
"ENSG00000162458"	877	261	5947
"ENSG00000162460"	2	4	2
"ENSG00000162461"	17	28	57
"ENSG00000162482"	9	28	33
"ENSG00000162490"	5	9	32
"ENSG00000162493"	93	10	342
"ENSG00000162494"	0	0	0
"ENSG00000162496"	91	32	163
"ENSG00000162510"	8	18	11
"ENSG00000162511"	16	2	3
"ENSG00000162512"	1403	350	15234
"ENSG00000162517"	313	117	1378
"ENSG00000162520"	179	53	692
"ENSG00000162521"	1907	428	3904
"ENSG00000162522"	187	80	705
"ENSG00000162526"	16	4	40
"ENSG00000162542"	323	171	924
"ENSG00000162543"	0	1	0
"ENSG00000162545"	778	1383	3809
"ENSG00000162551"	14	3	212
"ENSG00000162552"	206	23	96
"ENSG00000162571"	2	2	0
"ENSG00000162572"	163	52	321
"ENSG00000162576"	4986	717	20205
"ENSG00000162585"	533	153	1318
"ENSG00000162591"	245	33	966
"ENSG00000162592"	0	16	2
"ENSG00000162594"	13	83	1
"ENSG00000162595"	13	68	50
"ENSG00000162598"	0	3	0
"ENSG00000162599"	531	363	1091
"ENSG00000162600"	100	116	349
"ENSG00000162601"	3939	741	3597
"ENSG00000162604"	495	110	951
"ENSG00000162607"	1011	164	2003
"ENSG00000162613"	13248	1606	6615
"ENSG00000162614"	1676	683	3534
"ENSG00000162616"	1153	197	2101
"ENSG00000162618"	226	72	857
"ENSG00000162620"	6	6	10
"ENSG00000162621"	2	11	0
"ENSG00000162623"	599	258	1008
"ENSG00000162624"	0	5	0
"ENSG00000162627"	494	107	1057
"ENSG00000162630"	244	19	456
"ENSG00000162631"	37	21	135
"ENSG00000162636"	505	105	824
"ENSG00000162639"	28	29	59
"ENSG00000162641"	24	135	18
"ENSG00000162642"	866	256	803
"ENSG00000162643"	107	88	116
"ENSG00000162645"	170	61	638
"ENSG00000162650"	173	40	320
"ENSG00000162654"	0	6	2
"ENSG00000162664"	1260	450	1436
"ENSG00000162669"	1	4	16
"ENSG00000162670"	6	2	8
"ENSG00000162676"	75	44	4
"ENSG00000162685"	0	0	0
"ENSG00000162687"	113	26	101
"ENSG00000162688"	1645	262	1303
"ENSG00000162692"	183	67	493
"ENSG00000162694"	407	119	1332
"ENSG00000162695"	2892	499	4417
"ENSG00000162699"	0	0	0
"ENSG00000162702"	1671	505	2730
"ENSG00000162704"	1835	471	7027
"ENSG00000162706"	0	7	3
"ENSG00000162711"	1	4	6
"ENSG00000162714"	1047	583	2180
"ENSG00000162722"	77	13	266
"ENSG00000162723"	0	2	0
"ENSG00000162727"	0	0	0
"ENSG00000162728"	4	18	7
"ENSG00000162729"	196	37	1349
"ENSG00000162733"	7289	3021	16683
"ENSG00000162734"	2852	1248	14700
"ENSG00000162735"	704	149	1254
"ENSG00000162736"	1147	542	6990
"ENSG00000162738"	124	72	367
"ENSG00000162739"	2	20	0
"ENSG00000162745"	66	53	127
"ENSG00000162746"	76	57	112
"ENSG00000162747"	0	0	0
"ENSG00000162753"	52	334	1
"ENSG00000162755"	98	15	33
"ENSG00000162757"	21	2	6
"ENSG00000162761"	0	9	0
"ENSG00000162763"	3	2	0
"ENSG00000162769"	302	112	422
"ENSG00000162771"	0	2	0
"ENSG00000162772"	372	423	242
"ENSG00000162775"	1293	272	1569
"ENSG00000162777"	83	77	67
"ENSG00000162779"	159	63	12
"ENSG00000162782"	5	28	0
"ENSG00000162783"	2056	299	2376
"ENSG00000162804"	257	94	1118
"ENSG00000162813"	329	75	832
"ENSG00000162814"	10	10	29
"ENSG00000162817"	20	8	32
"ENSG00000162819"	1716	456	2826
"ENSG00000162825"	515	347	757
"ENSG00000162836"	75	44	515
"ENSG00000162840"	0	4	41
"ENSG00000162843"	1	8	4
"ENSG00000162849"	401	166	690
"ENSG00000162851"	638	117	559
"ENSG00000162852"	776	399	2056
"ENSG00000162869"	298	131	832
"ENSG00000162873"	0	2	1
"ENSG00000162877"	1	10	4
"ENSG00000162878"	226	62	1795
"ENSG00000162881"	10	2	17
"ENSG00000162882"	13	10	5
"ENSG00000162885"	1501	248	1008
"ENSG00000162888"	5	10	61
"ENSG00000162889"	3495	905	5535
"ENSG00000162891"	4	5	0
"ENSG00000162892"	10	9	11
"ENSG00000162894"	13	14	27
"ENSG00000162896"	2	26	0
"ENSG00000162897"	18	20	0
"ENSG00000162909"	10240	3441	40097
"ENSG00000162910"	189	74	769
"ENSG00000162913"	8	7	46
"ENSG00000162923"	2782	894	8087
"ENSG00000162924"	1548	303	296
"ENSG00000162927"	820	218	341
"ENSG00000162928"	846	180	1173
"ENSG00000162929"	383	259	821
"ENSG00000162931"	95	16	258
"ENSG00000162944"	663	157	711
"ENSG00000162946"	285	122	504
"ENSG00000162947"	4	19	3
"ENSG00000162949"	16	22	2
"ENSG00000162951"	1	0	0
"ENSG00000162959"	100	63	233
"ENSG00000162961"	318	88	762
"ENSG00000162971"	438	143	675
"ENSG00000162972"	317	51	357
"ENSG00000162975"	111	19	552
"ENSG00000162976"	231	70	523
"ENSG00000162980"	631	204	1152
"ENSG00000162981"	35	25	204
"ENSG00000162989"	0	3	0
"ENSG00000162992"	7	24	0
"ENSG00000162994"	134	157	527
"ENSG00000162997"	0	0	0
"ENSG00000162998"	151	58	115
"ENSG00000162999"	23	15	137
"ENSG00000163001"	1004	307	812
"ENSG00000163002"	613	128	403
"ENSG00000163006"	855	220	292
"ENSG00000163012"	3	10	0
"ENSG00000163013"	86	214	497
"ENSG00000163016"	0	0	0
"ENSG00000163017"	1508	698	10940
"ENSG00000163026"	234	57	693
"ENSG00000163029"	715	501	2379
"ENSG00000163032"	12	32	29
"ENSG00000163040"	87	30	240
"ENSG00000163041"	869	171	3210
"ENSG00000163046"	0	1	0
"ENSG00000163050"	21	11	3
"ENSG00000163053"	112	26	178
"ENSG00000163060"	0	0	2
"ENSG00000163064"	0	0	2
"ENSG00000163069"	841	224	4978
"ENSG00000163071"	139	173	617
"ENSG00000163072"	131	19	118
"ENSG00000163075"	4	5	1
"ENSG00000163081"	0	0	0
"ENSG00000163082"	64	74	50
"ENSG00000163083"	2	5	3
"ENSG00000163092"	10	18	30
"ENSG00000163093"	208	26	225
"ENSG00000163098"	0	0	0
"ENSG00000163104"	1773	321	3193
"ENSG00000163106"	62	19	1
"ENSG00000163110"	4682	1320	5620
"ENSG00000163114"	0	4	1
"ENSG00000163116"	7	8	5
"ENSG00000163121"	3	0	0
"ENSG00000163125"	2441	562	2301
"ENSG00000163126"	5	3	24
"ENSG00000163131"	50	50	67
"ENSG00000163132"	168	12	187
"ENSG00000163138"	348	338	507
"ENSG00000163141"	58	51	32
"ENSG00000163145"	20	27	77
"ENSG00000163154"	14	18	28
"ENSG00000163155"	147	46	321
"ENSG00000163156"	517	178	883
"ENSG00000163157"	99	33	34
"ENSG00000163159"	630	145	1550
"ENSG00000163161"	2755	668	2098
"ENSG00000163162"	846	334	1163
"ENSG00000163166"	1050	239	2314
"ENSG00000163170"	128	32	235
"ENSG00000163171"	2186	328	13051
"ENSG00000163191"	967	361	7650
"ENSG00000163202"	0	0	0
"ENSG00000163206"	0	0	0
"ENSG00000163207"	0	0	0
"ENSG00000163209"	0	0	0
"ENSG00000163214"	1574	482	1683
"ENSG00000163216"	0	0	0
"ENSG00000163217"	0	29	0
"ENSG00000163218"	0	1	0
"ENSG00000163219"	2	17	11
"ENSG00000163220"	0	0	0
"ENSG00000163221"	0	0	0
"ENSG00000163235"	6	6	0
"ENSG00000163239"	8	21	1
"ENSG00000163249"	210	235	751
"ENSG00000163251"	99	213	115
"ENSG00000163254"	0	3	0
"ENSG00000163257"	748	148	1601
"ENSG00000163263"	9	10	4
"ENSG00000163273"	2	2	7
"ENSG00000163281"	503	111	1003
"ENSG00000163283"	1	2	0
"ENSG00000163285"	0	3	0
"ENSG00000163286"	0	1	0
"ENSG00000163288"	252	74	484
"ENSG00000163291"	500	181	1221
"ENSG00000163293"	16	8	8
"ENSG00000163295"	0	1	0
"ENSG00000163297"	2105	406	5714
"ENSG00000163312"	245	169	456
"ENSG00000163319"	480	50	203
"ENSG00000163320"	728	272	3459
"ENSG00000163322"	504	104	394
"ENSG00000163328"	144	71	545
"ENSG00000163331"	0	1	0
"ENSG00000163344"	88	56	433
"ENSG00000163346"	683	119	5079
"ENSG00000163347"	121	19	1647
"ENSG00000163348"	396	149	1218
"ENSG00000163349"	2299	734	4191
"ENSG00000163352"	5	11	12
"ENSG00000163354"	7	20	8
"ENSG00000163357"	8	39	9
"ENSG00000163359"	68360	5627	463723
"ENSG00000163362"	7	17	12
"ENSG00000163364"	14	6	13
"ENSG00000163374"	2412	802	2075
"ENSG00000163376"	258	107	170
"ENSG00000163377"	5	59	1
"ENSG00000163378"	2240	639	2634
"ENSG00000163380"	156	46	30
"ENSG00000163382"	405	107	1144
"ENSG00000163389"	429	113	1234
"ENSG00000163393"	105	6	42
"ENSG00000163394"	17	26	0
"ENSG00000163395"	4	6	2
"ENSG00000163399"	1019	200	4009
"ENSG00000163406"	11	29	31
"ENSG00000163412"	28	39	127
"ENSG00000163421"	0	3	0
"ENSG00000163424"	5	10	4
"ENSG00000163428"	1687	281	2459
"ENSG00000163430"	9892	1804	46057
"ENSG00000163431"	441	148	1695
"ENSG00000163435"	121	67	0
"ENSG00000163440"	0	8	0
"ENSG00000163444"	2491	489	1724
"ENSG00000163449"	47	20	54
"ENSG00000163453"	2842	1444	10120
"ENSG00000163462"	96	58	461
"ENSG00000163463"	65	20	170
"ENSG00000163464"	0	14	0
"ENSG00000163466"	4610	1431	14602
"ENSG00000163467"	16	7	26
"ENSG00000163468"	4924	1469	9632
"ENSG00000163472"	138	59	242
"ENSG00000163479"	1906	297	7307
"ENSG00000163481"	731	251	1000
"ENSG00000163482"	415	266	1579
"ENSG00000163485"	32	15	191
"ENSG00000163491"	495	503	1651
"ENSG00000163492"	1	88	0
"ENSG00000163497"	0	1	0
"ENSG00000163499"	0	4	0
"ENSG00000163501"	3	19	2
"ENSG00000163507"	710	252	1417
"ENSG00000163508"	3	1	0
"ENSG00000163510"	1267	234	1185
"ENSG00000163512"	674	130	881
"ENSG00000163513"	2206	330	11074
"ENSG00000163515"	2	21	0
"ENSG00000163516"	520	225	913
"ENSG00000163517"	93	37	473
"ENSG00000163518"	0	2	0
"ENSG00000163519"	0	8	0
"ENSG00000163520"	252	18	1273
"ENSG00000163521"	181	93	351
"ENSG00000163527"	1959	690	8046
"ENSG00000163528"	51	66	376
"ENSG00000163530"	1	1	0
"ENSG00000163531"	60	165	249
"ENSG00000163534"	0	0	0
"ENSG00000163535"	685	164	1143
"ENSG00000163536"	34	18	64
"ENSG00000163539"	1580	356	2524
"ENSG00000163541"	1718	418	2316
"ENSG00000163545"	2023	108	835
"ENSG00000163554"	0	3	2
"ENSG00000163558"	3763	498	4001
"ENSG00000163563"	0	0	0
"ENSG00000163564"	0	3	1
"ENSG00000163565"	2600	315	3796
"ENSG00000163568"	85	20	2
"ENSG00000163576"	18	37	4
"ENSG00000163577"	379	116	730
"ENSG00000163581"	19	73	1
"ENSG00000163584"	974	185	1600
"ENSG00000163586"	0	1	0
"ENSG00000163590"	172	239	241
"ENSG00000163596"	323	132	284
"ENSG00000163597"	1757	500	2962
"ENSG00000163599"	0	1	0
"ENSG00000163600"	0	3	0
"ENSG00000163602"	4506	1119	1367
"ENSG00000163605"	5057	730	2964
"ENSG00000163606"	491	86	1
"ENSG00000163607"	388	112	590
"ENSG00000163608"	1386	178	1549
"ENSG00000163611"	52	26	100
"ENSG00000163612"	2	1	7
"ENSG00000163617"	78	119	127
"ENSG00000163618"	5	64	18
"ENSG00000163623"	13	40	34
"ENSG00000163624"	164	77	7
"ENSG00000163625"	3594	1024	6355
"ENSG00000163626"	699	295	729
"ENSG00000163629"	2936	1283	6344
"ENSG00000163630"	0	10	0
"ENSG00000163631"	1	31	1
"ENSG00000163632"	3	3	54
"ENSG00000163633"	6	1	13
"ENSG00000163634"	244	94	1370
"ENSG00000163635"	2180	679	2080
"ENSG00000163636"	1765	539	3161
"ENSG00000163637"	1230	307	2461
"ENSG00000163638"	135	108	865
"ENSG00000163644"	238	58	740
"ENSG00000163645"	14	72	2
"ENSG00000163646"	0	1	0
"ENSG00000163655"	964	496	4073
"ENSG00000163659"	3430	656	3340
"ENSG00000163660"	6391	1902	3866
"ENSG00000163661"	405	33	6207
"ENSG00000163666"	19	6	7
"ENSG00000163673"	4	86	0
"ENSG00000163681"	2158	923	3239
"ENSG00000163682"	9657	2159	12793
"ENSG00000163683"	909	306	1949
"ENSG00000163684"	175	34	231
"ENSG00000163686"	111	25	434
"ENSG00000163687"	1	8	1
"ENSG00000163689"	59	30	112
"ENSG00000163694"	52	25	32
"ENSG00000163697"	1423	653	2506
"ENSG00000163701"	43	51	213
"ENSG00000163702"	22	30	96
"ENSG00000163703"	72	67	82
"ENSG00000163704"	122	102	427
"ENSG00000163705"	5	6	10
"ENSG00000163710"	9	11	9
"ENSG00000163714"	7240	1268	4905
"ENSG00000163719"	1142	869	1206
"ENSG00000163728"	826	164	1931
"ENSG00000163734"	123	56	9
"ENSG00000163735"	12	0	13
"ENSG00000163736"	0	3	0
"ENSG00000163737"	0	0	0
"ENSG00000163738"	327	135	181
"ENSG00000163739"	88	23	4
"ENSG00000163743"	1738	297	546
"ENSG00000163746"	69	15	2
"ENSG00000163749"	5	12	3
"ENSG00000163751"	3	5	1
"ENSG00000163754"	527	185	2548
"ENSG00000163755"	458	117	1230
"ENSG00000163762"	4	29	10
"ENSG00000163781"	1444	263	3160
"ENSG00000163785"	1766	485	3477
"ENSG00000163788"	785	232	1026
"ENSG00000163792"	2	16	1
"ENSG00000163793"	1	7	0
"ENSG00000163794"	1	22	14
"ENSG00000163795"	219	58	732
"ENSG00000163798"	1753	480	1610
"ENSG00000163803"	24	31	93
"ENSG00000163806"	265	31	48
"ENSG00000163807"	496	198	1475
"ENSG00000163808"	1361	852	966
"ENSG00000163810"	22	181	8
"ENSG00000163811"	6035	1550	3765
"ENSG00000163812"	1107	751	2955
"ENSG00000163814"	604	158	3103
"ENSG00000163815"	1	6	24
"ENSG00000163817"	55	93	4
"ENSG00000163818"	246	81	418
"ENSG00000163820"	547	167	5484
"ENSG00000163823"	6	0	14
"ENSG00000163825"	0	0	6
"ENSG00000163827"	46	9	69
"ENSG00000163832"	440	101	868
"ENSG00000163833"	30	52	0
"ENSG00000163840"	428	117	1913
"ENSG00000163848"	5023	1410	3592
"ENSG00000163864"	77	5	14
"ENSG00000163866"	588	117	1214
"ENSG00000163867"	307	90	518
"ENSG00000163870"	483	79	1537
"ENSG00000163872"	1927	716	4158
"ENSG00000163873"	0	5	0
"ENSG00000163874"	3095	654	491
"ENSG00000163875"	691	192	1644
"ENSG00000163877"	1509	302	749
"ENSG00000163879"	482	71	494
"ENSG00000163882"	705	108	964
"ENSG00000163884"	5	0	39
"ENSG00000163885"	0	0	12
"ENSG00000163888"	19	15	51
"ENSG00000163898"	6	51	6
"ENSG00000163900"	460	106	699
"ENSG00000163902"	3852	493	17334
"ENSG00000163904"	846	303	1902
"ENSG00000163909"	3	5	2
"ENSG00000163913"	572	343	1450
"ENSG00000163914"	2	1	0
"ENSG00000163915"	114	43	191
"ENSG00000163918"	1253	769	970
"ENSG00000163923"	21	16	285
"ENSG00000163930"	1374	525	3071
"ENSG00000163931"	5458	2804	14277
"ENSG00000163932"	114	76	896
"ENSG00000163933"	398	119	973
"ENSG00000163935"	179	63	209
"ENSG00000163938"	2141	824	3995
"ENSG00000163939"	2639	973	5682
"ENSG00000163945"	509	180	1452
"ENSG00000163946"	1897	574	4305
"ENSG00000163947"	186	213	509
"ENSG00000163950"	896	134	2149
"ENSG00000163956"	1899	808	5966
"ENSG00000163958"	5	13	0
"ENSG00000163959"	456	115	234
"ENSG00000163960"	5310	1532	3303
"ENSG00000163961"	1572	349	1663
"ENSG00000163964"	83	44	524
"ENSG00000163975"	187	91	48
"ENSG00000163982"	0	25	1
"ENSG00000163993"	89	11	4
"ENSG00000163995"	2	3	5
"ENSG00000164002"	115	21	156
"ENSG00000164007"	72	27	1
"ENSG00000164008"	89	43	161
"ENSG00000164010"	96	38	525
"ENSG00000164011"	58	23	280
"ENSG00000164022"	1675	462	1931
"ENSG00000164023"	574	102	1083
"ENSG00000164024"	1208	271	2042
"ENSG00000164031"	813	552	3179
"ENSG00000164032"	1461	465	4852
"ENSG00000164035"	1	33	0
"ENSG00000164037"	12	98	17
"ENSG00000164038"	290	245	576
"ENSG00000164039"	590	110	682
"ENSG00000164040"	531	149	3157
"ENSG00000164045"	2039	232	786
"ENSG00000164047"	0	1	0
"ENSG00000164048"	75	45	375
"ENSG00000164049"	3	23	7
"ENSG00000164050"	532	214	2940
"ENSG00000164051"	158	24	380
"ENSG00000164053"	211	237	649
"ENSG00000164054"	1465	446	6524
"ENSG00000164056"	193	80	585
"ENSG00000164061"	21	42	92
"ENSG00000164062"	770	244	3274
"ENSG00000164066"	890	205	916
"ENSG00000164068"	391	332	1672
"ENSG00000164070"	282	274	567
"ENSG00000164073"	560	244	820
"ENSG00000164074"	149	81	438
"ENSG00000164076"	8	8	1
"ENSG00000164077"	237	21	635
"ENSG00000164078"	5	9	19
"ENSG00000164080"	3091	779	3574
"ENSG00000164081"	223	57	1092
"ENSG00000164082"	0	10	7
"ENSG00000164086"	413	109	1638
"ENSG00000164087"	131	52	580
"ENSG00000164088"	237	113	809
"ENSG00000164089"	2	51	0
"ENSG00000164091"	779	225	4732
"ENSG00000164093"	35	21	50
"ENSG00000164096"	1053	183	3119
"ENSG00000164099"	403	139	1554
"ENSG00000164100"	25	9	26
"ENSG00000164104"	1481	420	2442
"ENSG00000164105"	140	38	362
"ENSG00000164106"	144	57	51
"ENSG00000164107"	8	10	13
"ENSG00000164109"	348	87	987
"ENSG00000164111"	12813	3413	45586
"ENSG00000164112"	40	32	109
"ENSG00000164113"	6	14	0
"ENSG00000164114"	451	63	1043
"ENSG00000164116"	14	9	26
"ENSG00000164117"	252	95	500
"ENSG00000164118"	882	155	632
"ENSG00000164120"	3	14	0
"ENSG00000164122"	4	49	14
"ENSG00000164123"	25	13	6
"ENSG00000164124"	68	27	61
"ENSG00000164125"	371	47	1291
"ENSG00000164128"	1	5	0
"ENSG00000164129"	0	5	0
"ENSG00000164134"	4920	810	4363
"ENSG00000164136"	137	73	327
"ENSG00000164142"	456	68	52
"ENSG00000164144"	709	435	1598
"ENSG00000164151"	1968	1031	4120
"ENSG00000164161"	112	73	58
"ENSG00000164162"	149	43	139
"ENSG00000164163"	1829	445	4019
"ENSG00000164164"	2214	522	2991
"ENSG00000164167"	156	58	334
"ENSG00000164168"	1028	121	2194
"ENSG00000164169"	560	66	605
"ENSG00000164171"	6548	1432	20033
"ENSG00000164172"	495	269	1502
"ENSG00000164175"	6	17	7
"ENSG00000164176"	1899	486	11491
"ENSG00000164180"	1224	183	946
"ENSG00000164181"	9	47	0
"ENSG00000164182"	750	242	841
"ENSG00000164185"	27	28	13
"ENSG00000164187"	246	104	1368
"ENSG00000164188"	17	84	4
"ENSG00000164190"	4883	1349	5384
"ENSG00000164197"	20	4	4
"ENSG00000164199"	36	180	9
"ENSG00000164209"	1200	283	3148
"ENSG00000164211"	1087	128	2260
"ENSG00000164219"	2064	567	1347
"ENSG00000164220"	337	46	3938
"ENSG00000164221"	308	63	491
"ENSG00000164236"	97	107	835
"ENSG00000164237"	152	136	771
"ENSG00000164241"	164	24	66
"ENSG00000164244"	2159	500	5178
"ENSG00000164251"	567	14	1028
"ENSG00000164252"	127	32	450
"ENSG00000164253"	1457	428	2051
"ENSG00000164256"	0	0	0
"ENSG00000164258"	1652	328	1561
"ENSG00000164265"	2	3	0
"ENSG00000164266"	0	0	0
"ENSG00000164270"	109	90	9
"ENSG00000164283"	2	7	13
"ENSG00000164284"	1054	196	1076
"ENSG00000164287"	9	24	1
"ENSG00000164291"	269	124	1185
"ENSG00000164292"	3130	1147	8644
"ENSG00000164294"	1374	162	8570
"ENSG00000164296"	21	24	240
"ENSG00000164299"	0	1	0
"ENSG00000164300"	534	434	1016
"ENSG00000164303"	3	6	4
"ENSG00000164304"	32	20	3
"ENSG00000164305"	1010	200	1749
"ENSG00000164306"	118	72	397
"ENSG00000164307"	718	199	2159
"ENSG00000164308"	115	121	211
"ENSG00000164309"	791	138	128
"ENSG00000164318"	70	46	44
"ENSG00000164323"	391	133	2549
"ENSG00000164325"	0	7	0
"ENSG00000164326"	6	1	0
"ENSG00000164327"	6784	1691	4624
"ENSG00000164329"	3984	542	1998
"ENSG00000164330"	205	130	284
"ENSG00000164331"	224	113	626
"ENSG00000164332"	318	101	1276
"ENSG00000164334"	1	5	0
"ENSG00000164338"	1417	297	1020
"ENSG00000164342"	12	2	61
"ENSG00000164344"	0	2	0
"ENSG00000164346"	1148	398	2088
"ENSG00000164347"	2159	469	842
"ENSG00000164362"	1	2	0
"ENSG00000164363"	0	1	0
"ENSG00000164366"	402	137	800
"ENSG00000164379"	54	13	407
"ENSG00000164385"	10	3	3
"ENSG00000164393"	0	0	0
"ENSG00000164398"	0	22	0
"ENSG00000164399"	0	2	0
"ENSG00000164400"	20	3	5
"ENSG00000164402"	1053	310	4754
"ENSG00000164403"	382	85	646
"ENSG00000164404"	1113	204	5
"ENSG00000164405"	1248	155	1297
"ENSG00000164406"	632	93	75
"ENSG00000164411"	102	65	9
"ENSG00000164414"	133	41	262
"ENSG00000164418"	286	222	1320
"ENSG00000164430"	153	55	330
"ENSG00000164434"	1	3	0
"ENSG00000164438"	4	21	0
"ENSG00000164440"	10	13	17
"ENSG00000164442"	832	175	5464
"ENSG00000164451"	146	54	5
"ENSG00000164458"	0	0	0
"ENSG00000164463"	2719	544	1203
"ENSG00000164465"	1456	354	2898
"ENSG00000164466"	2258	361	3666
"ENSG00000164483"	34	58	56
"ENSG00000164484"	358	91	2053
"ENSG00000164485"	1	19	0
"ENSG00000164488"	0	1	0
"ENSG00000164494"	227	135	714
"ENSG00000164500"	0	0	0
"ENSG00000164506"	2162	841	5067
"ENSG00000164508"	0	4	0
"ENSG00000164509"	225	255	216
"ENSG00000164512"	9	14	32
"ENSG00000164520"	5	21	10
"ENSG00000164530"	8	46	5
"ENSG00000164532"	1	2	3
"ENSG00000164535"	1008	713	1206
"ENSG00000164542"	152	22	35
"ENSG00000164543"	1004	363	3168
"ENSG00000164548"	3091	789	2943
"ENSG00000164556"	54	17	0
"ENSG00000164574"	1504	734	4772
"ENSG00000164576"	240	152	1139
"ENSG00000164587"	9595	1867	15231
"ENSG00000164588"	0	4	0
"ENSG00000164591"	45	34	21
"ENSG00000164597"	2218	494	2537
"ENSG00000164600"	0	4	0
"ENSG00000164603"	627	107	637
"ENSG00000164604"	64	136	79
"ENSG00000164609"	2046	448	1908
"ENSG00000164610"	921	103	498
"ENSG00000164611"	554	85	1202
"ENSG00000164615"	973	196	1128
"ENSG00000164616"	0	0	0
"ENSG00000164619"	148	166	300
"ENSG00000164620"	128	19	146
"ENSG00000164621"	20	2	25
"ENSG00000164626"	0	8	1
"ENSG00000164627"	2	15	23
"ENSG00000164631"	1302	106	1557
"ENSG00000164638"	71	65	752
"ENSG00000164645"	0	0	0
"ENSG00000164647"	65	10	183
"ENSG00000164649"	240	83	1042
"ENSG00000164651"	0	1	0
"ENSG00000164654"	222	89	1101
"ENSG00000164659"	166	28	47
"ENSG00000164663"	319	167	149
"ENSG00000164669"	0	0	0
"ENSG00000164674"	127	104	122
"ENSG00000164675"	85	68	17
"ENSG00000164683"	84	65	101
"ENSG00000164684"	49	82	10
"ENSG00000164687"	61	37	220
"ENSG00000164690"	7	19	0
"ENSG00000164691"	0	7	1
"ENSG00000164692"	77013	11564	504070
"ENSG00000164694"	6	29	81
"ENSG00000164695"	48	6	2
"ENSG00000164707"	64	56	451
"ENSG00000164708"	0	0	0
"ENSG00000164713"	939	369	2643
"ENSG00000164715"	4049	841	1505
"ENSG00000164729"	0	5	0
"ENSG00000164733"	9968	1674	53354
"ENSG00000164736"	0	5	0
"ENSG00000164740"	0	1	1
"ENSG00000164741"	7036	857	13225
"ENSG00000164742"	12	12	68
"ENSG00000164743"	20	7	97
"ENSG00000164744"	5	3	6
"ENSG00000164746"	3	2	0
"ENSG00000164749"	0	0	0
"ENSG00000164751"	365	104	895
"ENSG00000164754"	3879	894	5996
"ENSG00000164756"	19	55	0
"ENSG00000164758"	388	18	122
"ENSG00000164761"	2042	125	9299
"ENSG00000164764"	73	46	50
"ENSG00000164776"	87	58	119
"ENSG00000164778"	15	6	1
"ENSG00000164794"	0	2	0
"ENSG00000164796"	10	14	10
"ENSG00000164808"	946	288	1587
"ENSG00000164815"	576	127	830
"ENSG00000164816"	0	0	0
"ENSG00000164818"	317	137	1136
"ENSG00000164821"	0	0	0
"ENSG00000164822"	0	0	0
"ENSG00000164823"	195	77	432
"ENSG00000164825"	0	3	0
"ENSG00000164828"	1860	555	5241
"ENSG00000164830"	1247	666	2284
"ENSG00000164841"	9	45	5
"ENSG00000164845"	7	3	37
"ENSG00000164849"	7	2	21
"ENSG00000164850"	95	16	147
"ENSG00000164853"	5	5	0
"ENSG00000164855"	121	28	133
"ENSG00000164867"	7	5	3
"ENSG00000164871"	0	0	0
"ENSG00000164877"	347	182	2337
"ENSG00000164879"	28	14	1
"ENSG00000164880"	1360	650	7155
"ENSG00000164885"	149	41	622
"ENSG00000164889"	1096	428	5464
"ENSG00000164893"	0	5	0
"ENSG00000164896"	760	181	2813
"ENSG00000164897"	368	85	895
"ENSG00000164898"	16	16	9
"ENSG00000164900"	1	7	5
"ENSG00000164902"	1337	172	2120
"ENSG00000164904"	469	157	1853
"ENSG00000164916"	954	583	7993
"ENSG00000164919"	606	123	1166
"ENSG00000164920"	119	22	173
"ENSG00000164924"	4674	1611	27610
"ENSG00000164929"	303	110	1239
"ENSG00000164930"	1917	179	5305
"ENSG00000164932"	2677	287	9859
"ENSG00000164933"	16	5	34
"ENSG00000164934"	2409	461	2826
"ENSG00000164935"	5	25	3
"ENSG00000164938"	374	150	2071
"ENSG00000164941"	387	248	1668
"ENSG00000164944"	5130	1201	4062
"ENSG00000164946"	4	8	5
"ENSG00000164949"	782	323	1140
"ENSG00000164951"	619	105	1801
"ENSG00000164953"	667	151	405
"ENSG00000164961"	1215	444	3210
"ENSG00000164967"	189	10	247
"ENSG00000164970"	226	180	1250
"ENSG00000164972"	9	6	11
"ENSG00000164975"	1750	546	2568
"ENSG00000164976"	49	22	181
"ENSG00000164978"	124	50	562
"ENSG00000164983"	226	157	1398
"ENSG00000164985"	1449	482	2428
"ENSG00000164989"	105	82	237
"ENSG00000165006"	2404	386	1607
"ENSG00000165023"	1	0	0
"ENSG00000165025"	0	4	0
"ENSG00000165028"	305	53	48
"ENSG00000165029"	15578	1397	12123
"ENSG00000165030"	353	98	957
"ENSG00000165046"	153	129	440
"ENSG00000165055"	787	136	1203
"ENSG00000165059"	0	3	0
