"240827_n6"	"240905_n6"	"241210_ICP4"	"241210_n6"	"241213_ICP4"	"241213_n6"	"241217_n6"
"ENSG00000116819"	403	722	38	499	20	375	112
"ENSG00000116824"	0	0	0	0	0	0	0
"ENSG00000116830"	1852	4296	1466	1409	1639	2160	726
"ENSG00000116833"	45	30	15	12	28	28	4
"ENSG00000116852"	103	39	25	29	25	2	5
"ENSG00000116857"	2947	4515	4535	5239	5297	3806	2230
"ENSG00000116863"	2412	3130	4207	4602	3778	2472	1216
"ENSG00000116871"	24210	25258	29437	30684	22957	18207	10504
"ENSG00000116874"	1363	1203	1460	1116	1449	1083	637
"ENSG00000116882"	0	1	0	0	31	0	0
"ENSG00000116885"	601	492	710	965	811	413	286
"ENSG00000116898"	3634	5388	4484	7203	5429	4790	2122
"ENSG00000116903"	5650	3278	2882	1603	2184	3061	2015
"ENSG00000116906"	5217	7607	5392	5325	5662	5515	2970
"ENSG00000116918"	3498	3126	3512	2136	2797	2555	1798
"ENSG00000116922"	3257	3318	3206	2381	2787	2373	1578
"ENSG00000116954"	4244	2893	4397	3828	3764	3107	2011
"ENSG00000116962"	46305	36632	28569	16543	24955	25238	19846
"ENSG00000116977"	5632	4698	4650	3873	3819	3387	2631
"ENSG00000116981"	0	7	20	0	0	0	0
"ENSG00000116983"	9	38	1	29	0	11	1
"ENSG00000116984"	5530	5744	4226	1686	3460	4565	2700
"ENSG00000116985"	0	48	31	25	5	20	14
"ENSG00000116990"	430	916	150	240	128	433	112
"ENSG00000116991"	1961	2270	992	706	938	903	841
"ENSG00000116996"	0	0	0	24	0	0	0
"ENSG00000117000"	5409	3119	3933	1422	3473	3229	2079
"ENSG00000117009"	26	6	0	0	8	14	8
"ENSG00000117010"	463	358	467	215	331	289	201
"ENSG00000117013"	8	23	0	25	8	34	2
"ENSG00000117016"	0	19	4	21	37	32	14
"ENSG00000117020"	7749	9980	6561	4134	6228	6690	4568
"ENSG00000117036"	8086	4336	6617	2701	4737	4032	3311
"ENSG00000117054"	4012	5205	2868	2480	3007	3456	1843
"ENSG00000117069"	450	838	118	333	256	448	228
"ENSG00000117090"	0	0	0	0	0	0	0
"ENSG00000117091"	0	0	0	10	0	0	0
"ENSG00000117114"	2920	3410	2286	1142	2050	2585	1811
"ENSG00000117115"	52	46	17	45	23	18	7
"ENSG00000117118"	6255	8744	8938	12663	9473	6967	3506
"ENSG00000117122"	5260	4242	4529	7348	4591	4241	1869
"ENSG00000117133"	3281	4595	3837	4124	3868	3174	1716
"ENSG00000117139"	18537	11480	14563	7364	13888	11790	7100
"ENSG00000117143"	29524	38817	24435	24951	31597	32089	12581
"ENSG00000117148"	23	1	9	4	39	2	10
"ENSG00000117151"	1050	860	845	874	1011	795	589
"ENSG00000117152"	2426	4914	3345	2729	3307	4167	3939
"ENSG00000117153"	4946	4864	6307	4690	6720	5106	2899
"ENSG00000117154"	0	0	13	0	1	3	0
"ENSG00000117155"	6248	16104	4869	3935	4319	5917	4812
"ENSG00000117174"	5334	5607	5969	2805	4496	3723	3839
"ENSG00000117215"	0	17	8	0	0	0	1
"ENSG00000117222"	3825	3629	3905	2052	3020	2890	1911
"ENSG00000117226"	1601	4336	1631	1501	1856	1988	927
"ENSG00000117228"	1907	7135	2849	2498	3145	3091	1653
"ENSG00000117242"	608	687	545	315	416	451	263
"ENSG00000117245"	368	334	428	398	506	319	142
"ENSG00000117262"	774	872	738	654	773	705	485
"ENSG00000117266"	50	12	58	23	15	11	10
"ENSG00000117280"	5577	3195	6026	4239	5105	4313	2492
"ENSG00000117281"	17	28	12	1	18	29	11
"ENSG00000117298"	41282	42805	41488	39902	30662	29447	15375
"ENSG00000117305"	4613	3552	5132	6369	5916	3946	1933
"ENSG00000117308"	2267	3270	2657	3768	2461	2001	1309
"ENSG00000117318"	23305	31259	19779	33076	27107	18036	9936
"ENSG00000117322"	13	8	6	13	0	0	0
"ENSG00000117335"	23926	22853	24464	14980	20489	20137	16088
"ENSG00000117360"	6101	6973	6163	6265	6102	4391	2938
"ENSG00000117362"	8285	11647	9690	11365	9141	7749	4312
"ENSG00000117385"	20633	16609	16884	19047	19039	15921	11249
"ENSG00000117394"	25797	23870	21920	22890	28257	25865	10226
"ENSG00000117395"	7405	16723	8342	10929	9796	9688	4195
"ENSG00000117399"	2661	16564	1711	5783	3044	6427	588
"ENSG00000117400"	0	19	7	21	6	6	6
"ENSG00000117407"	33	151	57	105	48	26	16
"ENSG00000117408"	8387	7598	8725	8838	8558	6976	3468
"ENSG00000117410"	8803	9205	14552	18148	13540	9328	5715
"ENSG00000117411"	9881	11371	10246	13626	12187	10299	5219
"ENSG00000117419"	4031	5196	4938	6299	5404	4057	2532
"ENSG00000117425"	162	110	111	131	109	97	77
"ENSG00000117448"	5991	7039	6912	10099	8187	6938	4238
"ENSG00000117450"	30393	61905	35463	50184	37120	36612	19087
"ENSG00000117461"	2488	2277	1569	1130	1671	1883	816
"ENSG00000117472"	115	103	108	125	75	28	30
"ENSG00000117475"	7835	7133	8181	4671	6323	5802	4115
"ENSG00000117477"	62	4	29	6	30	36	24
"ENSG00000117479"	5760	2704	3944	2174	2437	2361	1738
"ENSG00000117480"	161	171	252	284	234	110	91
"ENSG00000117481"	3182	3089	3819	3300	3667	2747	1408
"ENSG00000117500"	8073	8399	7889	4617	6073	5361	5760
"ENSG00000117501"	45	24	60	35	38	27	6
"ENSG00000117505"	7981	8688	9052	5609	8017	6229	3549
"ENSG00000117507"	0	0	0	0	0	0	0
"ENSG00000117519"	27643	34013	28599	33005	32920	32621	14160
"ENSG00000117523"	25984	27180	21506	6353	16044	20034	11614
"ENSG00000117525"	13843	27782	11419	15852	13324	14674	5832
"ENSG00000117528"	8741	9660	7824	5349	7521	7582	4916
"ENSG00000117533"	3832	2600	4501	2827	3442	2125	2489
"ENSG00000117543"	1730	3415	2020	2640	2732	2397	1198
"ENSG00000117560"	0	1	12	13	8	0	0
"ENSG00000117569"	1375	984	1642	936	1569	1016	688
"ENSG00000117586"	537	758	399	363	526	529	323
"ENSG00000117592"	44502	53511	45844	59693	51728	44184	34657
"ENSG00000117593"	2163	4517	2051	1543	1883	2531	1284
"ENSG00000117594"	55	53	101	78	43	25	24
"ENSG00000117595"	0	19	18	8	5	10	3
"ENSG00000117597"	5583	6806	5723	4090	4644	4758	2110
"ENSG00000117598"	12	18	8	0	25	1	0
"ENSG00000117600"	703	623	605	323	232	340	244
"ENSG00000117601"	10	19	30	25	23	29	16
"ENSG00000117602"	1573	1962	1778	1096	1380	1604	757
"ENSG00000117614"	6152	5499	8089	7526	7023	5007	3087
"ENSG00000117616"	6176	6356	4302	8599	4252	3680	2759
"ENSG00000117620"	1455	1260	1297	700	1282	1207	687
"ENSG00000117625"	5047	3464	5062	2881	4519	3655	2673
"ENSG00000117632"	7670	33580	6700	12217	10898	14965	3061
"ENSG00000117640"	2695	3930	3716	4181	4057	3172	1366
"ENSG00000117643"	713	682	333	522	386	471	161
"ENSG00000117650"	653	4535	291	565	621	1329	204
"ENSG00000117676"	184	325	279	271	232	191	108
"ENSG00000117682"	11342	8967	10117	8915	10145	8048	4393
"ENSG00000117691"	3099	3638	4634	6536	4728	2924	1940
"ENSG00000117697"	1606	3142	2149	2270	2364	2192	1082
"ENSG00000117707"	143	100	186	69	96	93	46
"ENSG00000117713"	7741	10252	8258	3532	7361	6881	3893
"ENSG00000117724"	5012	16783	2754	1855	3465	7687	873
"ENSG00000117748"	3489	4749	4726	5134	4674	3748	1952
"ENSG00000117751"	6350	6974	7197	5615	6575	5303	3050
"ENSG00000117758"	10823	10157	13142	10335	10855	9745	5990
"ENSG00000117791"	644	472	668	803	708	442	283
"ENSG00000117834"	0	0	0	0	6	3	4
"ENSG00000117859"	10747	10956	10857	9030	9409	8287	5717
"ENSG00000117862"	1086	1616	1773	1463	1400	963	431
"ENSG00000117868"	21635	19103	17530	11430	17673	14114	7884
"ENSG00000117877"	182	350	344	355	451	349	157
"ENSG00000117899"	7130	11420	7833	9170	8425	7273	3759
"ENSG00000117906"	15708	16363	12869	12440	12324	12342	8182
"ENSG00000117971"	0	4	0	0	0	0	1
"ENSG00000117983"	0	0	8	0	6	11	5
"ENSG00000117984"	12559	10025	17883	24414	18636	10101	9104
"ENSG00000118004"	32	50	89	64	49	40	17
"ENSG00000118007"	7074	8809	5552	2920	4529	5102	3202
"ENSG00000118017"	54	17	12	4	12	12	13
"ENSG00000118046"	5491	6296	7536	7315	6739	4699	2681
"ENSG00000118058"	7848	7659	7498	1828	6047	6775	3291
"ENSG00000118094"	24	6	4	0	5	4	2
"ENSG00000118096"	2946	4149	3393	4118	3900	2846	1610
"ENSG00000118113"	18	21	58	47	28	43	14
"ENSG00000118137"	11	16	0	32	9	8	0
"ENSG00000118156"	15	0	0	16	26	9	1
"ENSG00000118160"	59	16	72	60	27	40	7
"ENSG00000118162"	494	539	540	721	472	412	284
"ENSG00000118181"	29930	42030	33473	57055	34513	25036	18789
"ENSG00000118193"	1027	4079	715	427	643	1822	273
"ENSG00000118194"	0	0	0	0	1	0	0
"ENSG00000118197"	2412	2728	2421	1870	2491	2088	1120
"ENSG00000118200"	16773	14336	16596	4798	11982	10562	7569
"ENSG00000118217"	13212	12756	14106	9271	12026	9885	7352
"ENSG00000118231"	0	0	0	0	0	0	0
"ENSG00000118242"	726	610	1017	829	752	547	375
"ENSG00000118245"	0	0	0	15	0	0	0
"ENSG00000118246"	3838	5472	4975	2931	4535	3657	2698
"ENSG00000118257"	7035	6660	5554	3454	5298	6270	2658
"ENSG00000118260"	5802	5317	4550	2943	3714	3840	2615
"ENSG00000118263"	7008	3868	6769	2286	4922	4551	3370
"ENSG00000118271"	0	0	0	0	2	6	0
"ENSG00000118276"	86	33	122	44	80	113	33
"ENSG00000118292"	208	204	262	566	343	258	254
"ENSG00000118298"	20	18	20	36	33	12	14
"ENSG00000118307"	0	5	15	15	20	9	22
"ENSG00000118308"	6	0	72	0	0	11	7
"ENSG00000118322"	29	0	19	22	37	28	0
"ENSG00000118363"	3922	5074	3991	4334	3624	3357	2262
"ENSG00000118369"	1604	1441	1346	1497	1319	1044	689
"ENSG00000118402"	2238	2313	2078	1401	1378	1463	1382
"ENSG00000118407"	46	51	35	47	44	40	2
"ENSG00000118412"	1716	2586	1583	666	1477	1550	1025
"ENSG00000118418"	1261	2175	1041	1839	1289	1075	652
"ENSG00000118420"	589	410	614	503	579	430	284
"ENSG00000118432"	27	42	19	21	7	6	5
"ENSG00000118434"	0	0	0	0	0	0	0
"ENSG00000118454"	6319	5921	4889	2580	4024	3532	2495
"ENSG00000118473"	8925	4640	6988	5801	7280	5325	2810
"ENSG00000118482"	7670	6540	5592	2008	4786	4227	3224
"ENSG00000118491"	0	0	0	0	0	0	0
"ENSG00000118492"	3	8	8	14	14	13	1
"ENSG00000118495"	5395	4701	4277	3428	3659	2913	2461
"ENSG00000118496"	7333	7073	6440	2439	4482	4461	3986
"ENSG00000118503"	9404	3485	6684	4598	2778	2324	1676
"ENSG00000118507"	368	548	247	213	243	315	110
"ENSG00000118508"	7610	8439	7294	11433	8013	6727	2864
"ENSG00000118513"	98	235	62	119	34	156	24
"ENSG00000118514"	39	32	42	37	40	34	10
"ENSG00000118515"	24797	15431	21987	19955	20216	20472	6140
"ENSG00000118518"	7290	5627	6340	4899	6307	4698	3589
"ENSG00000118520"	0	17	24	0	7	3	2
"ENSG00000118523"	76130	66229	73476	104760	94906	138542	36932
"ENSG00000118526"	72	33	47	68	81	74	34
"ENSG00000118557"	16	45	33	18	10	12	17
"ENSG00000118564"	8996	13750	7636	5282	7526	7132	4034
"ENSG00000118579"	4200	5684	4810	4229	4269	3380	2032
"ENSG00000118596"	2573	3383	1717	423	1237	1830	2218
"ENSG00000118600"	1126	1413	1379	1129	1111	1031	675
"ENSG00000118620"	1057	816	566	263	481	567	293
"ENSG00000118640"	15	48	81	157	108	74	26
"ENSG00000118655"	752	1871	890	841	949	1056	370
"ENSG00000118680"	41486	67858	47680	71137	58102	51037	26015
"ENSG00000118689"	10998	8109	8698	3921	8331	8689	3513
"ENSG00000118690"	433	256	353	418	314	271	187
"ENSG00000118702"	0	0	0	0	0	0	0
"ENSG00000118705"	51205	58252	49534	57749	55033	46870	27245
"ENSG00000118707"	1587	1229	1388	1010	832	984	493
"ENSG00000118729"	0	0	19	0	0	10	5
"ENSG00000118733"	0	0	0	12	0	2	3
"ENSG00000118762"	15003	18817	14555	7597	12652	13087	9571
"ENSG00000118777"	517	485	398	239	245	248	164
"ENSG00000118785"	19552	8876	27854	18009	27887	14050	15273
"ENSG00000118804"	393	405	424	315	208	177	96
"ENSG00000118816"	11991	20917	13594	11314	11530	12476	7445
"ENSG00000118849"	86	101	58	30	36	43	30
"ENSG00000118855"	21001	19886	21633	16511	19611	13772	14768
"ENSG00000118873"	12598	10138	11414	5277	9103	8979	5961
"ENSG00000118894"	504	955	678	870	808	694	415
"ENSG00000118898"	80	31	125	78	48	32	51
"ENSG00000118900"	12809	12137	9868	6372	8811	7834	4723
"ENSG00000118903"	0	0	0	0	0	0	0
"ENSG00000118922"	3319	3479	2319	1086	2271	2409	1812
"ENSG00000118939"	114	157	178	124	139	124	90
"ENSG00000118946"	9	243	38	35	17	69	36
"ENSG00000118960"	4276	2888	5084	6080	4699	3573	2244
"ENSG00000118961"	1884	2255	1954	1477	2016	1456	981
"ENSG00000118965"	2315	1764	2252	1099	1776	1575	884
"ENSG00000118971"	145	107	388	211	807	446	43
"ENSG00000118972"	0	5	6	0	0	8	2
"ENSG00000118976"	1	18	2	1	1	1	4
"ENSG00000118985"	56607	43011	47943	31152	41233	42556	20574
"ENSG00000118990"	2	5	13	1	14	14	4
"ENSG00000118997"	102	68	81	60	150	63	41
"ENSG00000119004"	2475	1991	2185	1628	2172	1768	1149
"ENSG00000119013"	3560	7118	5652	7297	6903	5460	2338
"ENSG00000119041"	4209	5329	4021	2828	3958	3517	2268
"ENSG00000119042"	4227	2712	2404	1305	2050	2127	1382
"ENSG00000119048"	7585	5320	9064	8339	7074	5562	3506
"ENSG00000119121"	13	37	82	44	42	42	38
"ENSG00000119125"	0	14	5	8	6	0	0
"ENSG00000119138"	3831	2006	1923	1466	1205	1846	1293
"ENSG00000119139"	178	133	144	81	66	43	65
"ENSG00000119147"	0	0	0	0	9	0	0
"ENSG00000119185"	8369	11699	9084	11823	9339	8201	4186
"ENSG00000119203"	4600	5732	4881	4870	5034	4322	2382
"ENSG00000119227"	843	561	714	869	637	474	323
"ENSG00000119231"	9021	7700	7431	4616	7235	6544	3575
"ENSG00000119242"	7822	8689	7483	9814	7717	6151	2952
"ENSG00000119280"	11646	7555	13717	11333	12607	10294	4379
"ENSG00000119283"	284	92	268	94	202	217	74
"ENSG00000119285"	5731	8327	4956	2475	4311	5605	3817
"ENSG00000119314"	8615	8148	8228	3045	6387	6021	5066
"ENSG00000119318"	29494	39114	33615	23214	33922	31082	17753
"ENSG00000119321"	8763	9192	9431	7321	8523	6844	3838
"ENSG00000119326"	10317	20059	7928	10151	11355	11086	4967
"ENSG00000119328"	1653	1957	2256	1692	2246	1780	1140
"ENSG00000119333"	1776	4481	2356	3373	2493	2293	1193
"ENSG00000119335"	30072	39741	28689	24001	25890	26099	15721
"ENSG00000119383"	8675	15933	11847	13196	12518	10888	6723
"ENSG00000119392"	3977	5175	4533	3737	4046	3546	2260
"ENSG00000119396"	12675	15799	14756	9567	11886	11111	8458
"ENSG00000119397"	742	2112	818	515	914	968	402
"ENSG00000119401"	5630	5556	7656	4390	7607	6036	3305
"ENSG00000119402"	10280	13052	10013	8265	10782	9903	5191
"ENSG00000119403"	1552	7774	1946	2498	2677	3341	897
"ENSG00000119408"	9111	8185	10025	8233	10179	7382	4134
"ENSG00000119411"	0	0	0	8	6	0	0
"ENSG00000119414"	6731	7667	6846	6071	7213	5961	3578
"ENSG00000119421"	5159	6330	6022	8429	7156	5526	3056
"ENSG00000119431"	807	458	1244	1101	1024	535	338
"ENSG00000119440"	0	0	0	0	1	0	0
"ENSG00000119446"	3874	3585	4829	3051	4360	3442	1778
"ENSG00000119457"	7	60	0	3	0	16	11
"ENSG00000119471"	5361	6783	5454	4492	5898	5064	2552
"ENSG00000119487"	18371	19402	18073	17133	17943	14194	7608
"ENSG00000119508"	2312	1000	1350	700	829	772	468
"ENSG00000119509"	2025	2437	1567	1155	1694	1704	1104
"ENSG00000119514"	191	122	70	117	64	51	23
"ENSG00000119522"	4273	5403	3789	4314	3827	3406	1655
"ENSG00000119523"	6042	6198	6688	5943	6218	5267	2928
"ENSG00000119535"	28	0	0	22	0	0	0
"ENSG00000119537"	17674	9825	15976	9377	14259	10312	5959
"ENSG00000119541"	8333	7734	7339	4140	5355	5594	4309
"ENSG00000119547"	1475	2749	160	452	266	1374	517
"ENSG00000119559"	2059	2455	3028	3685	2706	1978	1027
"ENSG00000119574"	1449	1502	1417	1753	1274	990	612
"ENSG00000119596"	11841	11665	10957	5838	9052	8161	5709
"ENSG00000119599"	2997	2462	2582	2527	2651	2281	1199
"ENSG00000119608"	7	35	3	0	0	7	11
"ENSG00000119614"	0	0	0	14	0	0	0
"ENSG00000119616"	6568	9317	7476	5103	6974	6963	4292
"ENSG00000119630"	4925	4184	7173	7205	5945	3248	2418
"ENSG00000119632"	4291	6504	6303	10194	7643	5186	3030
"ENSG00000119636"	725	327	537	486	648	454	295
"ENSG00000119638"	9471	11651	8497	5941	8260	7653	4592
"ENSG00000119640"	515	988	626	883	775	763	201
"ENSG00000119650"	1719	1704	1869	2507	2444	1505	754
"ENSG00000119655"	18778	14635	21161	29424	22764	14885	12590
"ENSG00000119660"	0	0	0	0	0	0	0
"ENSG00000119661"	1429	1528	1537	1162	1587	1375	998
"ENSG00000119669"	5998	4652	5837	2971	4900	3131	2033
"ENSG00000119673"	2043	2158	2245	2570	2139	1564	697
"ENSG00000119681"	84348	75285	107746	62442	139660	143458	57445
"ENSG00000119682"	6808	8456	7925	4618	6852	6620	3540
"ENSG00000119684"	2286	2084	2009	1111	2036	1547	1047
"ENSG00000119685"	4296	4135	3126	2313	3049	3009	1362
"ENSG00000119686"	120	61	132	180	110	59	43
"ENSG00000119688"	3024	2135	2810	3690	2665	2089	1156
"ENSG00000119689"	18260	21870	22182	21412	20157	17875	9093
"ENSG00000119698"	99	40	131	102	103	91	30
"ENSG00000119699"	540	256	263	299	343	393	148
"ENSG00000119703"	101	91	148	131	126	44	35
"ENSG00000119705"	2353	4602	3290	5059	4263	4049	1717
"ENSG00000119707"	14194	15584	12098	7863	9705	8610	5366
"ENSG00000119711"	1430	1022	955	885	1002	1192	691
"ENSG00000119714"	1946	1030	1393	941	791	487	359
"ENSG00000119715"	30	19	41	26	28	7	8
"ENSG00000119718"	2991	4363	4357	4200	4400	3155	1586
"ENSG00000119720"	1150	1227	1552	672	1368	857	470
"ENSG00000119723"	576	613	631	726	600	432	238
"ENSG00000119725"	110	64	73	25	54	49	31
"ENSG00000119729"	10525	6990	9257	8344	7788	7097	4000
"ENSG00000119737"	77	218	84	18	80	111	82
"ENSG00000119760"	4209	4754	4699	4837	4943	3312	1952
"ENSG00000119771"	6079	6289	2460	2855	2647	3482	2331
"ENSG00000119772"	1282	1157	1277	813	1062	763	667
"ENSG00000119777"	15428	16705	17575	18255	17300	13828	9348
"ENSG00000119778"	2272	1338	1623	671	1626	1130	952
"ENSG00000119782"	224	239	189	315	229	197	76
"ENSG00000119787"	3826	5335	3638	2130	2599	3245	2092
"ENSG00000119801"	13139	11418	14377	14013	12710	10644	5296
"ENSG00000119812"	17282	22325	18820	13846	17613	16824	12538
"ENSG00000119820"	4173	4297	4524	2819	4117	3119	2372
"ENSG00000119844"	4404	4397	4254	2478	3887	3448	2229
"ENSG00000119862"	501	300	1222	483	891	472	227
"ENSG00000119865"	4197	6927	3805	4975	3580	4127	1719
"ENSG00000119866"	676	525	212	219	272	304	174
"ENSG00000119878"	1572	1676	1908	1686	1943	1887	1281
"ENSG00000119888"	48	34	33	42	50	25	4
"ENSG00000119899"	12181	6579	13805	9152	9102	7505	9221
"ENSG00000119900"	5437	6519	6434	3462	4796	5037	3328
"ENSG00000119906"	4609	5071	4092	2501	3441	3478	2354
"ENSG00000119912"	4438	5072	5633	2403	4857	4317	2370
"ENSG00000119913"	31	0	31	34	15	14	5
"ENSG00000119915"	514	523	105	366	95	238	119
"ENSG00000119917"	1815	2808	2042	1494	2238	2270	496
"ENSG00000119919"	0	2	0	0	2	0	0
"ENSG00000119922"	1694	1488	880	820	1813	2627	288
"ENSG00000119927"	2781	2593	2222	908	1907	2314	1434
"ENSG00000119929"	1424	1267	1339	1308	1568	1156	696
"ENSG00000119938"	23102	11858	33106	16627	41040	22504	7650
"ENSG00000119943"	502	892	327	718	595	461	236
"ENSG00000119946"	5382	3063	3737	2738	2863	2916	1295
"ENSG00000119950"	4023	2567	2137	2382	2128	2842	1371
"ENSG00000119953"	3616	3249	3908	2679	3530	2592	1882
"ENSG00000119965"	1607	1895	1636	1020	1285	1234	761
"ENSG00000119969"	763	3005	849	840	939	1468	619
"ENSG00000119973"	0	7	0	0	0	0	0
"ENSG00000119977"	9625	8738	8974	9752	8884	7026	4584
"ENSG00000119979"	4274	3241	4164	3702	4059	3487	1531
"ENSG00000119986"	3516	3243	2735	4343	2439	2441	1380
"ENSG00000120008"	7139	9726	6169	4450	6935	6892	4091
"ENSG00000120029"	4388	4386	4131	3163	4033	3962	1761
"ENSG00000120049"	17	27	18	21	22	18	32
"ENSG00000120051"	209	100	286	271	207	105	71
"ENSG00000120053"	8894	10669	13110	11645	10349	7451	3766
"ENSG00000120054"	0	0	7	0	0	9	0
"ENSG00000120055"	0	0	0	6	0	0	0
"ENSG00000120057"	23	49	0	46	8	22	9
"ENSG00000120063"	12345	8373	11575	4463	7651	7312	5225
"ENSG00000120068"	0	0	0	0	6	2	0
"ENSG00000120071"	8016	4468	7321	3983	6082	4008	2612
"ENSG00000120075"	0	7	0	1	0	0	0
"ENSG00000120088"	0	0	0	0	0	0	0
"ENSG00000120093"	56	100	13	50	68	36	30
"ENSG00000120094"	0	0	0	0	0	0	0
"ENSG00000120129"	55781	27265	51000	42243	43407	31711	12235
"ENSG00000120137"	11271	8102	8392	3679	5866	6295	4952
"ENSG00000120149"	20	26	56	35	29	11	8
"ENSG00000120156"	260	711	409	217	353	398	106
"ENSG00000120158"	5891	4890	2326	3957	2951	3914	2046
"ENSG00000120159"	2634	1990	2497	1493	1983	1868	1230
"ENSG00000120160"	0	0	0	0	0	0	0
"ENSG00000120162"	53	33	42	20	79	22	9
"ENSG00000120210"	10	2	2	0	3	0	1
"ENSG00000120211"	6	0	0	5	3	4	0
"ENSG00000120215"	100	44	72	7	35	40	74
"ENSG00000120217"	847	3028	1510	1165	1154	1453	718
"ENSG00000120235"	0	0	0	0	3	0	0
"ENSG00000120242"	0	1	0	0	1	0	0
"ENSG00000120251"	7	3	22	3	0	9	0
"ENSG00000120253"	3182	4631	2967	2096	2950	3691	1950
"ENSG00000120254"	9403	11249	9836	9068	10361	8264	5408
"ENSG00000120256"	268	240	217	224	283	341	109
"ENSG00000120262"	65	98	165	79	138	64	20
"ENSG00000120265"	7266	10217	8610	8173	9125	8577	5514
"ENSG00000120278"	280	166	501	190	371	176	137
"ENSG00000120279"	206	98	320	221	108	104	33
"ENSG00000120280"	0	0	1	0	0	0	1
"ENSG00000120289"	0	0	0	0	0	0	0
"ENSG00000120306"	7376	4427	8614	10840	6745	5135	2670
"ENSG00000120314"	7454	7015	6365	6438	5778	4623	3104
"ENSG00000120318"	2836	3909	3563	2731	3359	2366	1230
"ENSG00000120322"	51	7	38	27	49	22	10
"ENSG00000120324"	173	66	84	65	67	96	52
"ENSG00000120327"	139	102	172	96	108	125	98
"ENSG00000120328"	20	16	18	35	12	22	11
"ENSG00000120329"	0	0	0	0	0	0	0
"ENSG00000120332"	18	0	0	0	5	18	0
"ENSG00000120333"	1655	2787	1427	1999	2160	2184	973
"ENSG00000120334"	2375	2865	2571	1815	2499	2082	1059
"ENSG00000120337"	40	33	119	63	46	16	402
"ENSG00000120341"	0	17	0	5	20	11	11
"ENSG00000120370"	3976	2206	4473	2731	3427	2140	1805
"ENSG00000120436"	0	0	0	0	0	0	0
"ENSG00000120437"	11811	7841	7471	10911	7670	8051	3806
"ENSG00000120438"	31036	46144	25441	28372	26966	28301	15669
"ENSG00000120440"	0	0	3	0	4	0	1
"ENSG00000120451"	14547	17206	15486	9218	14103	13138	7433
"ENSG00000120457"	0	0	0	7	4	3	0
"ENSG00000120458"	1747	1700	1436	1311	1256	1013	833
"ENSG00000120471"	0	11	0	0	8	0	3
"ENSG00000120498"	0	0	0	0	4	0	1
"ENSG00000120500"	27	45	0	8	9	8	7
"ENSG00000120509"	5249	7201	5287	7160	6070	5754	2765
"ENSG00000120519"	656	926	573	429	570	637	460
"ENSG00000120526"	3895	6837	3277	3105	3322	4030	2220
"ENSG00000120533"	4298	8365	4455	6060	5333	4768	2628
"ENSG00000120539"	1812	3603	1401	1267	1404	1892	641
"ENSG00000120549"	4668	2597	2711	1352	2269	1356	1061
"ENSG00000120555"	0	0	0	0	3	0	0
"ENSG00000120563"	0	0	0	0	0	0	0
"ENSG00000120594"	384	174	832	671	1579	1446	321
"ENSG00000120616"	3728	1746	4746	1881	4001	2252	1248
"ENSG00000120645"	25	26	6	0	38	14	7
"ENSG00000120647"	1978	2541	1724	1580	1787	1660	653
"ENSG00000120656"	4308	4037	4007	5068	4630	3765	1974
"ENSG00000120658"	324	389	348	271	428	285	134
"ENSG00000120659"	0	0	0	0	0	0	0
"ENSG00000120662"	961	886	959	765	1023	640	435
"ENSG00000120664"	24	13	23	29	27	15	14
"ENSG00000120669"	15	9	31	0	4	25	1
"ENSG00000120675"	3604	6774	4484	4995	4944	4526	2209
"ENSG00000120685"	3153	3563	1877	1431	2077	2135	1255
"ENSG00000120686"	13986	11694	14425	10434	11843	10980	6555
"ENSG00000120688"	2376	2998	2881	1940	2639	1903	1168
"ENSG00000120690"	13533	11741	8254	4351	6166	6934	4566
"ENSG00000120693"	3075	3006	1795	1132	1290	1720	1065
"ENSG00000120694"	27412	34440	20182	15821	19917	22715	11124
"ENSG00000120696"	653	686	573	189	396	426	338
"ENSG00000120697"	3448	3855	3727	4229	4311	3537	2298
"ENSG00000120699"	2139	3912	2558	3177	2462	2331	1067
"ENSG00000120705"	32233	35153	36169	23975	31422	28102	13708
"ENSG00000120708"	562320	312380	487265	574454	754243	620782	207212
"ENSG00000120709"	12431	8212	11447	7250	8392	6858	4494
"ENSG00000120725"	7342	5343	8897	10569	9685	5621	4098
"ENSG00000120727"	3478	3920	3845	3998	4111	3382	1786
"ENSG00000120729"	0	2	0	0	6	7	0
"ENSG00000120733"	7262	8253	7193	3640	5460	5266	2834
"ENSG00000120738"	149067	56682	120249	80628	98731	64530	47299
"ENSG00000120742"	16122	18619	17793	14302	17645	16180	9740
"ENSG00000120756"	52	181	176	88	167	153	57
"ENSG00000120784"	2466	1795	2692	886	1985	1279	1005
"ENSG00000120798"	1639	1643	1415	1393	1661	1480	970
"ENSG00000120800"	3738	6768	3026	1528	3033	4210	1987
"ENSG00000120802"	3396	13849	3008	2404	3424	6159	1561
"ENSG00000120805"	15200	15735	14390	11788	15644	13959	10484
"ENSG00000120820"	5332	6463	5016	4183	5419	4875	3068
"ENSG00000120832"	445	587	422	419	370	272	487
"ENSG00000120833"	1195	1635	828	766	334	329	295
"ENSG00000120837"	2834	3870	2191	2391	2988	3005	1428
"ENSG00000120860"	3205	4432	3553	5594	4439	3803	1969
"ENSG00000120868"	3201	5300	2254	890	1625	2667	2301
"ENSG00000120875"	12144	7119	8779	6345	8779	6808	3012
"ENSG00000120885"	23315	16277	15380	20570	15685	12730	9579
