"geneId"	"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"transcriptId"	"distanceToTSS"	"external_gene_name"	"annotation_short"
"21"	"ENSG00000011275"	"7"	5781535	5781586	52	"*"	"KOS_4h_peak_1299"	23	"."	4.81865	6.66731	2.38336	43	"Promoter (<=1kb)"	7	5761011	5781620	20610	2	"ENST00000416985"	34	"RNF216"	"Promoter (<=1kb)"
"22"	"ENSG00000011523"	"2"	65056417	65056527	111	"*"	"KOS_4h_peak_833"	16	"."	4.28434	5.83183	1.69221	20	"Promoter (<=1kb)"	2	65056421	65086971	30551	1	"ENST00000704483"	0	"CEP68"	"Promoter (<=1kb)"
"23"	"ENSG00000012983"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"	"Promoter (<=1kb)"
"24"	"ENSG00000013275"	"19"	39971217	39971268	52	"*"	"KOS_4h_peak_774"	79	"."	7.28338	12.96905	7.99772	33	"Promoter (<=1kb)"	19	39971192	39980061	8870	1	"ENST00000596386"	25	"PSMC4"	"Promoter (<=1kb)"
"26"	"ENSG00000015568"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"Promoter (<=1kb)"
"27"	"ENSG00000020426"	"14"	60734719	60734790	72	"*"	"KOS_4h_peak_384"	59	"."	6.63521	10.75496	5.98463	43	"Promoter (<=1kb)"	14	60734742	60753954	19213	1	"ENST00000555545"	0	"MNAT1"	"Promoter (<=1kb)"
"28"	"ENSG00000023191"	"11"	506430	506527	98	"*"	"KOS_4h_peak_212"	63	"."	5.99776	11.20445	6.37681	46	"Promoter (<=1kb)"	11	502214	506356	4143	2	"ENST00000526295"	-74	"RNH1"	"Promoter (<=1kb)"
"29"	"ENSG00000024526"	"1"	68496908	68497016	109	"*"	"KOS_4h_peak_71"	55	"."	5.66455	10.24766	5.50938	35	"Promoter (<=1kb)"	1	68474152	68497082	22931	2	"ENST00000456315"	66	"DEPDC1"	"Promoter (<=1kb)"
"33"	"ENSG00000034510"	"2"	84905707	84905784	78	"*"	"KOS_4h_peak_845"	146	"."	9.85398	20.08791	14.6743	26	"Promoter (<=1kb)"	2	84905656	84906671	1016	1	"ENST00000233143"	51	"TMSB10"	"Promoter (<=1kb)"
"34"	"ENSG00000035403"	"10"	73998209	73998275	67	"*"	"KOS_4h_peak_183"	63	"."	6.67052	11.17682	6.3562	29	"Promoter (<=1kb)"	10	73998116	74120169	122054	1	"ENST00000211998"	93	"VCL"	"Promoter (<=1kb)"
"35"	"ENSG00000035499"	"5"	60699985	60700116	132	"*"	"KOS_4h_peak_1154"	38	"."	4.63447	8.39522	3.87229	68	"Promoter (<=1kb)"	5	60597629	60700134	102506	2	"ENST00000453022"	18	"DEPDC1B"	"Promoter (<=1kb)"
"36"	"ENSG00000035687"	"1"	244451814	244451865	52	"*"	"KOS_4h_peak_145"	40	"."	5.52543	8.6321	4.07016	15	"Promoter (<=1kb)"	1	244408494	244451909	43416	2	"ENST00000366535"	44	"ADSS2"	"Promoter (<=1kb)"
"37"	"ENSG00000037042"	"17"	42659433	42659490	58	"*"	"KOS_4h_peak_590"	63	"."	6.67052	11.17682	6.3562	27	"Promoter (<=1kb)"	17	42659307	42666822	7516	1	"ENST00000588870"	126	"TUBG2"	"Promoter (<=1kb)"
"41"	"ENSG00000038358"	"16"	67873100	67873211	112	"*"	"KOS_4h_peak_509"	36	"."	5.58033	8.1261	3.62244	66	"Promoter (<=1kb)"	16	67873052	67884499	11448	1	"ENST00000358933"	48	"EDC4"	"Promoter (<=1kb)"
"42"	"ENSG00000038358"	"16"	67873297	67873348	52	"*"	"KOS_4h_peak_510"	38	"."	5.59534	8.43367	3.89839	22	"Promoter (<=1kb)"	16	67873372	67880489	7118	1	"ENST00000536072"	-24	"EDC4"	"Promoter (<=1kb)"
"43"	"ENSG00000041880"	"3"	51942205	51942274	70	"*"	"KOS_4h_peak_1041"	41	"."	5.56964	8.70312	4.11695	38	"Promoter (<=1kb)"	3	51942345	51948603	6259	1	"ENST00000431474"	-71	"PARP3"	"Promoter (<=1kb)"
"44"	"ENSG00000041880"	"3"	51942371	51942444	74	"*"	"KOS_4h_peak_1042"	32	"."	5.14121	7.7109	3.24218	27	"Promoter (<=1kb)"	3	51942377	51948594	6218	1	"ENST00000471971"	0	"PARP3"	"Promoter (<=1kb)"
"45"	"ENSG00000048405"	"7"	127391815	127391909	95	"*"	"KOS_4h_peak_1347"	55	"."	5.66455	10.24766	5.50938	26	"Promoter (<=1kb)"	7	127374946	127392118	17173	2	"ENST00000436992"	209	"ZNF800"	"Promoter (<=1kb)"
"46"	"ENSG00000049449"	"11"	32091607	32091658	52	"*"	"KOS_4h_peak_225"	16	"."	4.28434	5.83183	1.69221	8	"Promoter (<=1kb)"	11	32091610	32098458	6849	1	"ENST00000532721"	0	"RCN1"	"Promoter (<=1kb)"
"47"	"ENSG00000049618"	"6"	156778119	156778175	57	"*"	"KOS_4h_peak_1275"	16	"."	4.28434	5.83183	1.69221	12	"Promoter (<=1kb)"	6	156777941	157051912	273972	1	"ENST00000674298"	178	"ARID1B"	"Promoter (<=1kb)"
"48"	"ENSG00000050438"	"12"	51424925	51425030	106	"*"	"KOS_4h_peak_300"	40	"."	5.68732	8.58022	4.0249	32	"Promoter (<=1kb)"	12	51424934	51440852	15919	1	"ENST00000546497"	0	"SLC4A8"	"Promoter (<=1kb)"
"49"	"ENSG00000051596"	"5"	175968195	175968285	91	"*"	"KOS_4h_peak_1189"	31	"."	4.36186	7.58665	3.15225	40	"Promoter (<=1kb)"	5	175960219	175968280	8062	2	"ENST00000513482"	0	"THOC3"	"Promoter (<=1kb)"
"50"	"ENSG00000053371"	"1"	19311968	19312033	66	"*"	"KOS_4h_peak_25"	17	"."	3.9985	5.86251	1.70983	5	"Promoter (<=1kb)"	1	19304166	19311907	7742	2	"ENST00000489286"	-61	"AKR7A2"	"Promoter (<=1kb)"
"51"	"ENSG00000054148"	"9"	136849450	136849574	125	"*"	"KOS_4h_peak_1465"	51	"."	6.26425	9.81703	5.11686	46	"Promoter (<=1kb)"	9	136849426	136851027	1602	1	"ENST00000497413"	24	"PHPT1"	"Promoter (<=1kb)"
"52"	"ENSG00000054267"	"1"	235327971	235328068	98	"*"	"KOS_4h_peak_141"	21	"."	4.82017	6.45445	2.19358	12	"Promoter (<=1kb)"	1	235167884	235328134	160251	2	"ENST00000421364"	66	"ARID4B"	"Promoter (<=1kb)"
"55"	"ENSG00000055130"	"7"	148698603	148698693	91	"*"	"KOS_4h_peak_1367"	43	"."	6.11866	8.9972	4.38652	50	"Promoter (<=1kb)"	7	148698645	148801025	102381	1	"ENST00000602748"	0	"CUL1"	"Promoter (<=1kb)"
"56"	"ENSG00000055208"	"6"	149316848	149316976	129	"*"	"KOS_4h_peak_1273"	116	"."	8.54765	16.87987	11.65723	45	"Promoter (<=1kb)"	6	149317534	149411395	93862	1	"ENST00000636456"	-558	"TAB2"	"Promoter (<=1kb)"
"57"	"ENSG00000056097"	"5"	32444858	32444910	53	"*"	"KOS_4h_peak_1149"	51	"."	6.0395	9.79399	5.10335	40	"Promoter (<=1kb)"	5	32354350	32444740	90391	2	"ENST00000265069"	-118	"ZFR"	"Promoter (<=1kb)"
"61"	"ENSG00000058804"	"1"	53838191	53838295	105	"*"	"KOS_4h_peak_67"	36	"."	5.58033	8.1261	3.62244	12	"Promoter (<=1kb)"	1	53765478	53838296	72819	2	"ENST00000371429"	1	"NDC1"	"Promoter (<=1kb)"
"62"	"ENSG00000059378"	"7"	140062600	140062651	52	"*"	"KOS_4h_peak_1357"	54	"."	6.48089	10.16573	5.43914	19	"Promoter (<=1kb)"	7	140057407	140062551	5145	2	"ENST00000467638"	-49	"PARP12"	"Promoter (<=1kb)"
"63"	"ENSG00000059378"	"7"	140062709	140062785	77	"*"	"KOS_4h_peak_1358"	66	"."	7.10223	11.51087	6.66428	42	"Promoter (<=1kb)"	7	140023749	140062933	39185	2	"ENST00000473341"	148	"PARP12"	"Promoter (<=1kb)"
"64"	"ENSG00000061676"	"2"	183038569	183038668	100	"*"	"KOS_4h_peak_888"	42	"."	5.88067	8.88893	4.28573	65	"Promoter (<=1kb)"	2	182909115	183038457	129343	2	"ENST00000361354"	-112	"NCKAP1"	"Promoter (<=1kb)"
"65"	"ENSG00000063438"	"5"	321572	321652	81	"*"	"KOS_4h_peak_1137"	66	"."	6.88286	11.52106	6.67292	45	"Promoter (<=1kb)"	5	321714	438285	116572	1	"ENST00000684583"	-62	"AHRR"	"Promoter (<=1kb)"
"66"	"ENSG00000063978"	"4"	2468812	2468957	146	"*"	"KOS_4h_peak_1097"	70	"."	6.90229	11.93914	7.04965	102	"Promoter (<=1kb)"	4	2468729	2500738	32010	1	"ENST00000504224"	83	"RNF4"	"Promoter (<=1kb)"
"67"	"ENSG00000064687"	"19"	1063113	1063188	76	"*"	"KOS_4h_peak_730"	32	"."	5.14121	7.7109	3.24218	50	"Promoter (<=1kb)"	19	1064052	1065572	1521	1	"ENST00000531478"	-864	"ABCA7"	"Promoter (<=1kb)"
"68"	"ENSG00000064687"	"19"	1062814	1062881	68	"*"	"KOS_4h_peak_729"	32	"."	5.45713	7.68369	3.23693	41	"Promoter (<=1kb)"	19	1062179	1065458	3280	1	"ENST00000612569"	635	"ABCA7"	"Promoter (<=1kb)"
"69"	"ENSG00000064726"	"15"	83067189	83067314	126	"*"	"KOS_4h_peak_443"	27	"."	4.96835	7.15602	2.78589	35	"Promoter (<=1kb)"	15	83016423	83067252	50830	2	"ENST00000261721"	0	"BTBD1"	"Promoter (<=1kb)"
"70"	"ENSG00000065809"	"10"	14604285	14604336	52	"*"	"KOS_4h_peak_152"	51	"."	6.26425	9.81703	5.11686	23	"Promoter (<=1kb)"	10	14529528	14604295	74768	2	"ENST00000471815"	0	"FAM107B"	"Promoter (<=1kb)"
"71"	"ENSG00000065882"	"4"	37977307	37977358	52	"*"	"KOS_4h_peak_1116"	48	"."	6.06162	9.49187	4.83832	25	"Promoter (<=1kb)"	4	37977310	38090065	112756	1	"ENST00000446803"	0	"TBC1D1"	"Promoter (<=1kb)"
"72"	"ENSG00000065883"	"7"	39951335	39951424	90	"*"	"KOS_4h_peak_1309"	56	"."	6.19289	10.39984	5.65032	22	"Promoter (<=1kb)"	7	39951302	40095519	144218	1	"ENST00000646039"	33	"CDK13"	"Promoter (<=1kb)"
"73"	"ENSG00000065978"	"1"	42682402	42682586	185	"*"	"KOS_4h_peak_58"	135	"."	9.42555	18.85026	13.50766	99	"Promoter (<=1kb)"	1	42682418	42703805	21388	1	"ENST00000321358"	0	"YBX1"	"Promoter (<=1kb)"
"74"	"ENSG00000066027"	"1"	212286051	212286246	196	"*"	"KOS_4h_peak_133"	46	"."	6.31356	9.31967	4.67979	175	"Promoter (<=1kb)"	1	212285410	212361853	76444	1	"ENST00000261461"	641	"PPP2R5A"	"Promoter (<=1kb)"
"75"	"ENSG00000066136"	"1"	40692004	40692078	75	"*"	"KOS_4h_peak_55"	32	"."	5.14121	7.7109	3.24218	38	"Promoter (<=1kb)"	1	40692008	40747584	55577	1	"ENST00000534399"	0	"NFYC"	"Promoter (<=1kb)"
"77"	"ENSG00000067113"	"5"	55534591	55534671	81	"*"	"KOS_4h_peak_1152"	23	"."	4.33171	6.68058	2.38836	47	"Promoter (<=1kb)"	5	55441906	55534951	93046	2	"ENST00000509667"	280	"PLPP1"	"Promoter (<=1kb)"
"78"	"ENSG00000067191"	"17"	39197611	39197670	60	"*"	"KOS_4h_peak_583"	33	"."	5.39061	7.82393	3.34571	9	"Promoter (<=1kb)"	17	39173453	39197669	24217	2	"ENST00000394303"	0	"CACNB1"	"Promoter (<=1kb)"
"80"	"ENSG00000068654"	"2"	86105707	86105783	77	"*"	"KOS_4h_peak_851"	17	"."	3.9985	5.86251	1.70983	1	"Promoter (<=1kb)"	2	86078041	86105873	27833	2	"ENST00000486964"	90	"POLR1A"	"Promoter (<=1kb)"
"81"	"ENSG00000070087"	"3"	149970988	149971039	52	"*"	"KOS_4h_peak_1067"	40	"."	5.89132	8.62633	4.06726	24	"Promoter (<=1kb)"	3	149964904	149970950	6047	2	"ENST00000452853"	-38	"PFN2"	"Promoter (<=1kb)"
"82"	"ENSG00000070444"	"17"	2401870	2401924	55	"*"	"KOS_4h_peak_552"	49	"."	6.30968	9.5794	4.92069	28	"Promoter (<=1kb)"	17	2387909	2401104	13196	2	"ENST00000575394"	-766	"MNT"	"Promoter (<=1kb)"
"83"	"ENSG00000070495"	"17"	76726754	76726838	85	"*"	"KOS_4h_peak_650"	32	"."	5.17671	7.76745	3.29443	79	"Promoter (<=1kb)"	17	76712832	76726799	13968	2	"ENST00000617192"	0	"JMJD6"	"Promoter (<=1kb)"
"84"	"ENSG00000071051"	"2"	105744883	105744990	108	"*"	"KOS_4h_peak_860"	95	"."	8.00462	14.58298	9.50481	40	"Promoter (<=1kb)"	2	105744912	105894272	149361	1	"ENST00000233154"	0	"NCK2"	"Promoter (<=1kb)"
"85"	"ENSG00000072609"	"12"	132887250	132887335	86	"*"	"KOS_4h_peak_340"	25	"."	4.9853	6.92979	2.57977	57	"Promoter (<=1kb)"	12	132870725	132887522	16798	2	"ENST00000537551"	187	"CHFR"	"Promoter (<=1kb)"
"86"	"ENSG00000072736"	"16"	68085701	68085780	80	"*"	"KOS_4h_peak_511"	50	"."	5.99808	9.72704	5.04225	41	"Promoter (<=1kb)"	16	68085658	68229259	143602	1	"ENST00000329524"	43	"NFATC3"	"Promoter (<=1kb)"
"89"	"ENSG00000074276"	"5"	176591707	176591921	215	"*"	"KOS_4h_peak_1190"	205	"."	6.85385	26.28159	20.52727	130	"Promoter (1-2kb)"	5	176590601	176591690	1090	1	"ENST00000416365"	1106	"CDHR2"	"Promoter (1-2kb)"
"90"	"ENSG00000074276"	"5"	176591991	176592149	159	"*"	"KOS_4h_peak_1191"	45	"."	4.90709	9.22813	4.59797	147	"Promoter (1-2kb)"	5	176590601	176591690	1090	1	"ENST00000416365"	1390	"CDHR2"	"Promoter (1-2kb)"
"91"	"ENSG00000075043"	"20"	63442412	63443573	1162	"*"	"KOS_4h_peak_945"	396	"."	18.5184	46.58577	39.6448	408	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2003	"KCNQ2"	"Promoter (2-3kb)"
"92"	"ENSG00000075043"	"20"	63443624	63443738	115	"*"	"KOS_4h_peak_946"	46	"."	5.69843	9.24136	4.60994	76	"Promoter (1-2kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	1838	"KCNQ2"	"Promoter (1-2kb)"
"93"	"ENSG00000075618"	"7"	5593491	5593546	56	"*"	"KOS_4h_peak_1298"	50	"."	5.99808	9.72704	5.04225	8	"Promoter (<=1kb)"	7	5593848	5603983	10136	1	"ENST00000444748"	-302	"FSCN1"	"Promoter (<=1kb)"
"94"	"ENSG00000075618"	"7"	5592768	5593054	287	"*"	"KOS_4h_peak_1296"	258	"."	14.84235	31.94162	25.86656	117	"Promoter (<=1kb)"	7	5592816	5606655	13840	1	"ENST00000382361"	0	"FSCN1"	"Promoter (<=1kb)"
"95"	"ENSG00000075618"	"7"	5593227	5593368	142	"*"	"KOS_4h_peak_1297"	59	"."	6.42651	10.78055	5.99391	70	"Promoter (<=1kb)"	7	5592816	5606655	13840	1	"ENST00000382361"	411	"FSCN1"	"Promoter (<=1kb)"
"96"	"ENSG00000075624"	"7"	5530139	5530319	181	"*"	"KOS_4h_peak_1294"	31	"."	5.02629	7.52772	3.10331	3	"Promoter (<=1kb)"	7	5529235	5529982	748	2	"ENST00000417101"	-157	"ACTB"	"Promoter (<=1kb)"
"97"	"ENSG00000075624"	"7"	5529522	5529687	166	"*"	"KOS_4h_peak_1293"	90	"."	7.71181	14.10095	9.05311	91	"Promoter (<=1kb)"	7	5527147	5529949	2803	2	"ENST00000642480"	262	"ACTB"	"Promoter (<=1kb)"
"98"	"ENSG00000075624"	"7"	5530390	5530663	274	"*"	"KOS_4h_peak_1295"	91	"."	6.99738	14.20944	9.15124	182	"Promoter (<=1kb)"	7	5526409	5530601	4193	2	"ENST00000674681"	0	"ACTB"	"Promoter (<=1kb)"
"99"	"ENSG00000075702"	"19"	36054880	36055037	158	"*"	"KOS_4h_peak_769"	182	"."	11.13929	23.9083	18.28167	114	"Promoter (<=1kb)"	19	36054881	36074304	19424	1	"ENST00000378860"	0	"WDR62"	"Promoter (<=1kb)"
"100"	"ENSG00000076604"	"17"	28744102	28744172	71	"*"	"KOS_4h_peak_575"	38	"."	5.59534	8.43367	3.89839	35	"Promoter (<=1kb)"	17	28744085	28749644	5560	1	"ENST00000262396"	17	"TRAF4"	"Promoter (<=1kb)"
"104"	"ENSG00000077454"	"7"	100585925	100586182	258	"*"	"KOS_4h_peak_1335"	105	"."	8.14062	15.7196	10.56564	129	"Promoter (<=1kb)"	7	100574011	100586129	12119	2	"ENST00000310300"	0	"LRCH4"	"Promoter (<=1kb)"
"105"	"ENSG00000077684"	"4"	128812756	128812822	67	"*"	"KOS_4h_peak_1128"	19	"."	4.51668	6.19451	1.97403	27	"Promoter (<=1kb)"	4	128811844	128875224	63381	1	"ENST00000611140"	912	"JADE1"	"Promoter (<=1kb)"
"106"	"ENSG00000077942"	"22"	45578350	45578402	53	"*"	"KOS_4h_peak_1024"	38	"."	5.90416	8.42106	3.88884	9	"Promoter (1-2kb)"	22	45577039	45578434	1396	1	"ENST00000460300"	1311	"FBLN1"	"Promoter (1-2kb)"
"107"	"ENSG00000078237"	"12"	4321092	4321230	139	"*"	"KOS_4h_peak_284"	32	"."	5.14121	7.7109	3.24218	38	"Promoter (<=1kb)"	12	4321213	4360028	38816	1	"ENST00000179259"	0	"TIGAR"	"Promoter (<=1kb)"
"108"	"ENSG00000079156"	"2"	178194511	178194568	58	"*"	"KOS_4h_peak_887"	17	"."	3.9985	5.86251	1.70983	11	"Promoter (<=1kb)"	2	178194512	178402893	208382	1	"ENST00000190611"	0	"OSBPL6"	"Promoter (<=1kb)"
"109"	"ENSG00000079335"	"1"	100352497	100352548	52	"*"	"KOS_4h_peak_76"	37	"."	5.68028	8.28611	3.77128	45	"Promoter (<=1kb)"	1	100352502	100484734	132233	1	"ENST00000370124"	0	"CDC14A"	"Promoter (<=1kb)"
"110"	"ENSG00000079931"	"6"	132401107	132401164	58	"*"	"KOS_4h_peak_1269"	45	"."	6.08763	9.22084	4.59327	10	"Promoter (<=1kb)"	6	132296055	132401475	105421	2	"ENST00000367963"	311	"MOXD1"	"Promoter (<=1kb)"
"111"	"ENSG00000080603"	"16"	30698133	30698239	107	"*"	"KOS_4h_peak_489"	66	"."	6.60575	11.45347	6.60933	90	"Promoter (<=1kb)"	16	30698209	30741409	43201	1	"ENST00000411466"	0	"SRCAP"	"Promoter (<=1kb)"
"112"	"ENSG00000080815"	"14"	73136593	73136685	93	"*"	"KOS_4h_peak_390"	55	"."	6.10546	10.2569	5.51531	63	"Promoter (<=1kb)"	14	73136543	73223685	87143	1	"ENST00000700375"	50	"PSEN1"	"Promoter (<=1kb)"
"113"	"ENSG00000080845"	"20"	36461575	36461641	67	"*"	"KOS_4h_peak_933"	72	"."	7.49805	12.15791	7.25694	41	"Promoter (<=1kb)"	20	36461492	36500203	38712	1	"ENST00000482037"	83	"DLGAP4"	"Promoter (<=1kb)"
"114"	"ENSG00000084073"	"1"	40258151	40258320	170	"*"	"KOS_4h_peak_54"	38	"."	4.99813	8.40895	3.87883	72	"Promoter (<=1kb)"	1	40258236	40262905	4670	1	"ENST00000479131"	0	"ZMPSTE24"	"Promoter (<=1kb)"
"115"	"ENSG00000085511"	"6"	160991453	160991537	85	"*"	"KOS_4h_peak_1281"	73	"."	7.11522	12.28661	7.37472	38	"Promoter (<=1kb)"	6	160991727	161117385	125659	1	"ENST00000366919"	-190	"MAP3K4"	"Promoter (<=1kb)"
"116"	"ENSG00000086015"	"1"	45803648	45803705	58	"*"	"KOS_4h_peak_63"	35	"."	5.78786	8.07764	3.57821	32	"Promoter (<=1kb)"	1	45803612	46036122	232511	1	"ENST00000361297"	36	"MAST2"	"Promoter (<=1kb)"
"117"	"ENSG00000086232"	"7"	6058934	6059166	233	"*"	"KOS_4h_peak_1300"	109	"."	9.44665	16.14488	10.97538	104	"Promoter (<=1kb)"	7	6046071	6059164	13094	2	"ENST00000431744"	0	"EIF2AK1"	"Promoter (<=1kb)"
"118"	"ENSG00000087086"	"19"	48965304	48965445	142	"*"	"KOS_4h_peak_792"	123	"."	8.99712	17.63181	12.36757	34	"Promoter (<=1kb)"	19	48965309	48966879	1571	1	"ENST00000331825"	0	"FTL"	"Promoter (<=1kb)"
"119"	"ENSG00000087087"	"7"	100875034	100875223	190	"*"	"KOS_4h_peak_1337"	59	"."	6.42651	10.78055	5.99391	112	"Promoter (<=1kb)"	7	100875103	100888664	13562	1	"ENST00000611405"	0	"SRRT"	"Promoter (<=1kb)"
"120"	"ENSG00000087460"	"20"	58889183	58889268	86	"*"	"KOS_4h_peak_940"	34	"."	5.6166	7.94357	3.45611	70	"Promoter (<=1kb)"	20	58889223	58911179	21957	1	"ENST00000480232"	0	"GNAS"	"Promoter (<=1kb)"
"121"	"ENSG00000087460"	"20"	58854836	58854977	142	"*"	"KOS_4h_peak_939"	62	"."	7.19839	11.05741	6.24648	91	"Promoter (1-2kb)"	20	58853266	58911192	57927	1	"ENST00000349036"	1570	"GNAS"	"Promoter (1-2kb)"
"122"	"ENSG00000087460"	"20"	58891092	58891167	76	"*"	"KOS_4h_peak_941"	24	"."	4.08924	6.80383	2.46867	43	"Promoter (<=1kb)"	20	58891302	58911192	19891	1	"ENST00000371095"	-135	"GNAS"	"Promoter (<=1kb)"
"123"	"ENSG00000088538"	"3"	50674834	50674931	98	"*"	"KOS_4h_peak_1039"	32	"."	5.14121	7.7109	3.24218	4	"Promoter (<=1kb)"	3	50674927	51384198	709272	1	"ENST00000266037"	0	"DOCK3"	"Promoter (<=1kb)"
"124"	"ENSG00000088756"	"18"	6729706	6729831	126	"*"	"KOS_4h_peak_690"	41	"."	5.56964	8.70312	4.11695	97	"Promoter (<=1kb)"	18	6729716	6915716	186001	1	"ENST00000383472"	0	"ARHGAP28"	"Promoter (<=1kb)"
"125"	"ENSG00000089199"	"20"	5911579	5911671	93	"*"	"KOS_4h_peak_924"	83	"."	8.36025	13.3422	8.34938	45	"Promoter (<=1kb)"	20	5911530	5923073	11544	1	"ENST00000455042"	49	"CHGB"	"Promoter (<=1kb)"
"126"	"ENSG00000089280"	"16"	31180156	31180210	55	"*"	"KOS_4h_peak_492"	59	"."	6.3755	10.69754	5.9329	35	"Promoter (<=1kb)"	16	31180151	31191575	11425	1	"ENST00000568685"	5	"FUS"	"Promoter (<=1kb)"
