"geneId"	"seqnames_2h"	"start_2h"	"end_2h"	"width_2h"	"strand_2h"	"V4_2h"	"V5_2h"	"V6_2h"	"V7_2h"	"V8_2h"	"V9_2h"	"V10_2h"	"annotation_2h"	"geneChr_2h"	"geneStart_2h"	"geneEnd_2h"	"geneLength_2h"	"geneStrand_2h"	"transcriptId_2h"	"distanceToTSS_2h"	"external_gene_name_2h"	"seqnames_4h"	"start_4h"	"end_4h"	"width_4h"	"strand_4h"	"V4_4h"	"V5_4h"	"V6_4h"	"V7_4h"	"V8_4h"	"V9_4h"	"V10_4h"	"annotation_4h"	"geneChr_4h"	"geneStart_4h"	"geneEnd_4h"	"geneLength_4h"	"geneStrand_4h"	"transcriptId_4h"	"distanceToTSS_4h"	"external_gene_name_4h"
"11"	"ENSG00000006062"	"17"	45316604	45316743	140	"*"	"KOS_2h_peak_6847"	72	"."	5.43982	10.57334	7.27414	96	"Promoter (<=1kb)"	17	45263119	45317020	53902	2	"ENST00000344686"	277	"MAP3K14"	"17"	45317202	45317267	66	"*"	"KOS_4h_peak_602"	38	"."	4.99813	8.40895	3.87883	35	"Promoter (<=1kb)"	17	45264636	45317029	52394	2	"ENST00000617331"	-173	"MAP3K14"
"12"	"ENSG00000006062"	"17"	45316805	45317430	626	"*"	"KOS_2h_peak_6848"	291	"."	9.54367	33.17112	29.11802	405	"Promoter (<=1kb)"	17	45263119	45317020	53902	2	"ENST00000344686"	0	"MAP3K14"	"17"	45317202	45317267	66	"*"	"KOS_4h_peak_602"	38	"."	4.99813	8.40895	3.87883	35	"Promoter (<=1kb)"	17	45264636	45317029	52394	2	"ENST00000617331"	-173	"MAP3K14"
"13"	"ENSG00000006194"	"16"	3282391	3283196	806	"*"	"KOS_2h_peak_5525"	477	"."	16.77869	52.0543	47.70757	302	"Promoter (<=1kb)"	16	3283283	3293389	10107	1	"ENST00000574253"	-87	"ZNF263"	"16"	3282504	3282679	176	"*"	"KOS_4h_peak_457"	50	"."	5.99808	9.72704	5.04225	90	"Promoter (<=1kb)"	16	3283283	3293389	10107	1	"ENST00000574253"	-604	"ZNF263"
"14"	"ENSG00000006459"	"7"	140175576	140177841	2266	"*"	"KOS_2h_peak_14863"	523	"."	15.69593	56.85698	52.32367	167	"Promoter (<=1kb)"	7	140084746	140176983	92238	2	"ENST00000397560"	0	"KDM7A"	"7"	140175813	140175996	184	"*"	"KOS_4h_peak_1359"	84	"."	7.55992	13.42248	8.42587	80	"Promoter (<=1kb)"	7	140084746	140176983	92238	2	"ENST00000397560"	987	"KDM7A"
"15"	"ENSG00000006607"	"2"	241356277	241356616	340	"*"	"KOS_2h_peak_9808"	128	"."	6.15973	16.4144	12.81681	104	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	0	"FARP2"	"2"	241355908	241355967	60	"*"	"KOS_4h_peak_916"	41	"."	4.19812	8.71181	4.12508	31	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-318	"FARP2"
"16"	"ENSG00000006607"	"2"	241355197	241355635	439	"*"	"KOS_2h_peak_9806"	96	"."	6.59289	13.0601	9.62422	344	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-650	"FARP2"	"2"	241355908	241355967	60	"*"	"KOS_4h_peak_916"	41	"."	4.19812	8.71181	4.12508	31	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-318	"FARP2"
"17"	"ENSG00000006607"	"2"	241355832	241356119	288	"*"	"KOS_2h_peak_9807"	191	"."	5.04861	22.92743	19.10515	106	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-166	"FARP2"	"2"	241355908	241355967	60	"*"	"KOS_4h_peak_916"	41	"."	4.19812	8.71181	4.12508	31	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-318	"FARP2"
"18"	"ENSG00000006831"	"12"	1690956	1691238	283	"*"	"KOS_2h_peak_3201"	274	"."	8.26982	31.4817	27.46131	111	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"	"12"	1690995	1691087	93	"*"	"KOS_4h_peak_279"	42	"."	5.6933	8.90153	4.2963	43	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"
"19"	"ENSG00000006831"	"12"	1690734	1690879	146	"*"	"KOS_2h_peak_3200"	23	"."	2.97714	5.21322	2.33884	103	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	-191	"ADIPOR2"	"12"	1690995	1691087	93	"*"	"KOS_4h_peak_279"	42	"."	5.6933	8.90153	4.2963	43	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"
"20"	"ENSG00000006831"	"12"	1691328	1691557	230	"*"	"KOS_2h_peak_3202"	39	"."	3.89546	6.96669	3.91863	42	"Promoter (<=1kb)"	12	1691163	1731056	39894	1	"ENST00000540974"	165	"ADIPOR2"	"12"	1690995	1691087	93	"*"	"KOS_4h_peak_279"	42	"."	5.6933	8.90153	4.2963	43	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"
"21"	"ENSG00000008130"	"1"	1782792	1782916	125	"*"	"KOS_2h_peak_64"	23	"."	2.97714	5.21322	2.33884	111	"Promoter (2-3kb)"	1	1779157	1780457	1301	2	"ENST00000480542"	-2335	"NADK"	"1"	1778296	1778425	130	"*"	"KOS_4h_peak_6"	68	"."	6.99417	11.70148	6.84622	106	"Promoter (<=1kb)"	1	1756588	1778419	21832	2	"ENST00000492768"	0	"NADK"
"22"	"ENSG00000008130"	"1"	1778075	1778552	478	"*"	"KOS_2h_peak_63"	174	"."	6.20577	21.20024	17.43334	251	"Promoter (<=1kb)"	1	1751232	1778470	27239	2	"ENST00000341426"	0	"NADK"	"1"	1778296	1778425	130	"*"	"KOS_4h_peak_6"	68	"."	6.99417	11.70148	6.84622	106	"Promoter (<=1kb)"	1	1756588	1778419	21832	2	"ENST00000492768"	0	"NADK"
"23"	"ENSG00000008226"	"3"	38084313	38084623	311	"*"	"KOS_2h_peak_11074"	259	"."	5.85999	29.96846	25.97809	169	"Intron (ENST00000440294/ENSG00000008226, intron 7 of 16)"	3	38062778	38086269	23492	1	"ENST00000469151"	21535	"DLEC1"	"3"	38084376	38084565	190	"*"	"KOS_4h_peak_1035"	132	"."	5.34522	18.55635	13.242	153	"Intron (ENST00000440294/ENSG00000008226, intron 7 of 16)"	3	38062778	38086269	23492	1	"ENST00000469151"	21598	"DLEC1"
"24"	"ENSG00000008710"	"16"	2135569	2136176	608	"*"	"KOS_2h_peak_5463"	720	"."	9.55051	77.41076	72.03746	419	"Promoter (<=1kb)"	16	2088708	2135898	47191	2	"ENST00000262304"	0	"PKD1"	"16"	2135626	2135738	113	"*"	"KOS_4h_peak_450"	100	"."	5.20807	15.1835	10.07452	64	"Promoter (<=1kb)"	16	2088708	2135898	47191	2	"ENST00000262304"	160	"PKD1"
"25"	"ENSG00000008710"	"16"	2135569	2136176	608	"*"	"KOS_2h_peak_5463"	720	"."	9.55051	77.41076	72.03746	419	"Promoter (<=1kb)"	16	2088708	2135898	47191	2	"ENST00000262304"	0	"PKD1"	"16"	2135942	2136080	139	"*"	"KOS_4h_peak_451"	109	"."	5.14039	16.07908	10.91241	70	"Promoter (<=1kb)"	16	2088710	2135898	47189	2	"ENST00000423118"	-44	"PKD1"
"26"	"ENSG00000010310"	"19"	45669270	45669520	251	"*"	"KOS_2h_peak_8453"	66	"."	5.25215	9.86975	6.61116	182	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	-736	"GIPR"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"
"27"	"ENSG00000010310"	"19"	45681572	45681876	305	"*"	"KOS_2h_peak_8456"	337	"."	12.19657	37.88408	33.75449	166	"3' UTR"	19	45677637	45678126	490	1	"ENST00000593127"	3935	"GIPR"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"
"28"	"ENSG00000010310"	"19"	45670909	45671107	199	"*"	"KOS_2h_peak_8454"	156	"."	8.81283	19.35523	15.64657	94	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	653	"GIPR"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"
"29"	"ENSG00000010310"	"19"	45677847	45678151	305	"*"	"KOS_2h_peak_8455"	19	"."	3.04585	4.79411	1.97142	241	"Promoter (<=1kb)"	19	45677637	45678126	490	1	"ENST00000593127"	210	"GIPR"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"
"30"	"ENSG00000010318"	"3"	52410207	52411125	919	"*"	"KOS_2h_peak_11236"	319	"."	12.64377	36.09298	31.98768	505	"Promoter (<=1kb)"	3	52410660	52423641	12982	1	"ENST00000327906"	0	"PHF7"	"3"	52410653	52410757	105	"*"	"KOS_4h_peak_1044"	41	"."	5.56964	8.70312	4.11695	30	"Promoter (<=1kb)"	3	52410660	52423641	12982	1	"ENST00000327906"	0	"PHF7"
"31"	"ENSG00000010361"	"19"	49808748	49809654	907	"*"	"KOS_2h_peak_8567"	354	"."	11.45724	39.57132	35.41749	761	"Promoter (<=1kb)"	19	49808123	49808825	703	2	"ENST00000534138"	0	"FUZ"	"19"	49809383	49809521	139	"*"	"KOS_4h_peak_795"	69	"."	6.85495	11.86177	6.98135	41	"Promoter (<=1kb)"	19	49808619	49809865	1247	2	"ENST00000527973"	344	"FUZ"
"32"	"ENSG00000011105"	"12"	3275563	3275737	175	"*"	"KOS_2h_peak_3220"	154	"."	7.6248	19.1388	15.43472	71	"Promoter (2-3kb)"	12	3272912	3280471	7560	1	"ENST00000492305"	2651	"TSPAN9"	"12"	3077411	3077476	66	"*"	"KOS_4h_peak_283"	68	"."	6.99417	11.70148	6.84622	36	"Promoter (<=1kb)"	12	3077428	3084210	6783	1	"ENST00000539631"	0	"TSPAN9"
"33"	"ENSG00000011105"	"12"	3200345	3200972	628	"*"	"KOS_2h_peak_3219"	70	"."	5.72782	10.35748	7.07587	292	"Promoter (<=1kb)"	12	3201177	3282108	80932	1	"ENST00000407263"	-205	"TSPAN9"	"12"	3077411	3077476	66	"*"	"KOS_4h_peak_283"	68	"."	6.99417	11.70148	6.84622	36	"Promoter (<=1kb)"	12	3077428	3084210	6783	1	"ENST00000539631"	0	"TSPAN9"
"34"	"ENSG00000011105"	"12"	3077252	3077654	403	"*"	"KOS_2h_peak_3218"	279	"."	11.52924	31.97264	27.94253	150	"Promoter (<=1kb)"	12	3077355	3286564	209210	1	"ENST00000537971"	0	"TSPAN9"	"12"	3077411	3077476	66	"*"	"KOS_4h_peak_283"	68	"."	6.99417	11.70148	6.84622	36	"Promoter (<=1kb)"	12	3077428	3084210	6783	1	"ENST00000539631"	0	"TSPAN9"
"35"	"ENSG00000011260"	"17"	51260309	51261544	1236	"*"	"KOS_2h_peak_6983"	653	"."	20.35339	70.54416	65.32647	994	"Promoter (<=1kb)"	17	51260546	51297933	37388	1	"ENST00000225298"	0	"UTP18"	"17"	51261186	51261376	191	"*"	"KOS_4h_peak_618"	77	"."	7.60953	12.7015	7.75994	57	"Promoter (<=1kb)"	17	51260546	51297933	37388	1	"ENST00000225298"	640	"UTP18"
"36"	"ENSG00000011275"	"7"	5780759	5781739	981	"*"	"KOS_2h_peak_14251"	232	"."	10.31564	27.16505	23.23557	446	"Promoter (<=1kb)"	7	5620047	5781663	161617	2	"ENST00000389902"	0	"RNF216"	"7"	5781535	5781586	52	"*"	"KOS_4h_peak_1299"	23	"."	4.81865	6.66731	2.38336	43	"Promoter (<=1kb)"	7	5761011	5781620	20610	2	"ENST00000416985"	34	"RNF216"
"37"	"ENSG00000011523"	"2"	65055872	65056965	1094	"*"	"KOS_2h_peak_9033"	384	"."	14.23986	42.6628	38.4705	609	"Promoter (<=1kb)"	2	65056354	65086957	30604	1	"ENST00000703983"	0	"CEP68"	"2"	65056417	65056527	111	"*"	"KOS_4h_peak_833"	16	"."	4.28434	5.83183	1.69221	20	"Promoter (<=1kb)"	2	65056421	65086971	30551	1	"ENST00000704483"	0	"CEP68"
"38"	"ENSG00000012983"	"14"	50532118	50532393	276	"*"	"KOS_2h_peak_4433"	64	"."	4.99556	9.73158	6.47926	79	"Promoter (<=1kb)"	14	50464078	50532087	68010	2	"ENST00000554091"	-31	"MAP4K5"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"
"39"	"ENSG00000012983"	"14"	50532463	50532763	301	"*"	"KOS_2h_peak_4434"	393	"."	10.75581	43.60001	39.3966	145	"Promoter (<=1kb)"	14	50418521	50532569	114049	2	"ENST00000682126"	0	"MAP4K5"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"
"40"	"ENSG00000012983"	"14"	50529781	50529897	117	"*"	"KOS_2h_peak_4432"	39	"."	4.69723	7.00102	3.95188	27	"Promoter (2-3kb)"	14	50464078	50532087	68010	2	"ENST00000554091"	2190	"MAP4K5"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"
"41"	"ENSG00000012983"	"14"	50560113	50561332	1220	"*"	"KOS_2h_peak_4435"	297	"."	10.31151	33.79704	29.73168	491	"Promoter (<=1kb)"	14	50475092	50561126	86035	2	"ENST00000555216"	0	"MAP4K5"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"
"42"	"ENSG00000013275"	"19"	39970657	39971372	716	"*"	"KOS_2h_peak_8326"	245	"."	7.77363	28.51719	24.55749	380	"Promoter (<=1kb)"	19	39971165	39981764	10600	1	"ENST00000157812"	0	"PSMC4"	"19"	39971217	39971268	52	"*"	"KOS_4h_peak_774"	79	"."	7.28338	12.96905	7.99772	33	"Promoter (<=1kb)"	19	39971192	39980061	8870	1	"ENST00000596386"	25	"PSMC4"
"43"	"ENSG00000013288"	"4"	6578695	6579949	1255	"*"	"KOS_2h_peak_11858"	948	"."	16.95234	100.85264	94.88179	594	"Intron (ENST00000504248/ENSG00000013288, intron 3 of 18)"	4	6575215	6622401	47187	1	"ENST00000505907"	3480	"MAN2B2"	"4"	6578837	6579641	805	"*"	"KOS_4h_peak_1101"	451	"."	19.70797	52.54907	45.14778	457	"Intron (ENST00000504248/ENSG00000013288, intron 3 of 18)"	4	6575215	6622401	47187	1	"ENST00000505907"	3622	"MAN2B2"
"44"	"ENSG00000013288"	"4"	6575147	6575374	228	"*"	"KOS_2h_peak_11857"	74	"."	5.99272	10.81337	7.49814	133	"Promoter (<=1kb)"	4	6575189	6621354	46166	1	"ENST00000504248"	0	"MAN2B2"	"4"	6578837	6579641	805	"*"	"KOS_4h_peak_1101"	451	"."	19.70797	52.54907	45.14778	457	"Intron (ENST00000504248/ENSG00000013288, intron 3 of 18)"	4	6575215	6622401	47187	1	"ENST00000505907"	3622	"MAN2B2"
"45"	"ENSG00000015568"	"2"	109794121	109794595	475	"*"	"KOS_2h_peak_9270"	1371	"."	16.14207	144.51805	137.17297	226	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"
"46"	"ENSG00000015568"	"2"	109807843	109808144	302	"*"	"KOS_2h_peak_9271"	42	"."	3.70704	7.33479	4.25879	71	"Promoter (<=1kb)"	2	109808237	109813771	5535	1	"ENST00000495473"	-93	"RGPD5"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"
"47"	"ENSG00000020426"	"14"	60734624	60735100	477	"*"	"KOS_2h_peak_4519"	330	"."	11.83159	37.12236	33.00352	131	"Promoter (<=1kb)"	14	60734742	60753954	19213	1	"ENST00000555545"	0	"MNAT1"	"14"	60734719	60734790	72	"*"	"KOS_4h_peak_384"	59	"."	6.63521	10.75496	5.98463	43	"Promoter (<=1kb)"	14	60734742	60753954	19213	1	"ENST00000555545"	0	"MNAT1"
"48"	"ENSG00000023191"	"11"	506124	507216	1093	"*"	"KOS_2h_peak_2332"	366	"."	12.62036	40.79712	36.62772	303	"Promoter (<=1kb)"	11	494513	506821	12309	2	"ENST00000397614"	0	"RNH1"	"11"	506430	506527	98	"*"	"KOS_4h_peak_212"	63	"."	5.99776	11.20445	6.37681	46	"Promoter (<=1kb)"	11	502214	506356	4143	2	"ENST00000526295"	-74	"RNH1"
"49"	"ENSG00000023191"	"11"	507460	507881	422	"*"	"KOS_2h_peak_2333"	291	"."	13.25769	33.18693	29.13331	189	"Promoter (<=1kb)"	11	494561	507300	12740	2	"ENST00000356187"	-160	"RNH1"	"11"	506430	506527	98	"*"	"KOS_4h_peak_212"	63	"."	5.99776	11.20445	6.37681	46	"Promoter (<=1kb)"	11	502214	506356	4143	2	"ENST00000526295"	-74	"RNH1"
"50"	"ENSG00000024526"	"1"	68496573	68497233	661	"*"	"KOS_2h_peak_701"	711	"."	21.58693	76.48445	71.13307	457	"Promoter (<=1kb)"	1	68474152	68497082	22931	2	"ENST00000456315"	0	"DEPDC1"	"1"	68496908	68497016	109	"*"	"KOS_4h_peak_71"	55	"."	5.66455	10.24766	5.50938	35	"Promoter (<=1kb)"	1	68474152	68497082	22931	2	"ENST00000456315"	66	"DEPDC1"
"51"	"ENSG00000032389"	"2"	3315144	3315288	145	"*"	"KOS_2h_peak_8703"	159	"."	10.21329	19.64751	15.93114	77	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	5256	"EIPR1"	"2"	3315792	3315848	57	"*"	"KOS_4h_peak_814"	152	"."	11.39744	20.70119	15.26145	32	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4696	"EIPR1"
"52"	"ENSG00000032389"	"2"	3315144	3315288	145	"*"	"KOS_2h_peak_8703"	159	"."	10.21329	19.64751	15.93114	77	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	5256	"EIPR1"	"2"	3315494	3315625	132	"*"	"KOS_4h_peak_813"	86	"."	8.39812	13.67227	8.65634	25	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4919	"EIPR1"
"53"	"ENSG00000032389"	"2"	3315144	3315288	145	"*"	"KOS_2h_peak_8703"	159	"."	10.21329	19.64751	15.93114	77	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	5256	"EIPR1"	"2"	3315967	3316133	167	"*"	"KOS_4h_peak_815"	119	"."	9.83564	17.18914	11.95526	19	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4411	"EIPR1"
"54"	"ENSG00000032389"	"2"	3377953	3378322	370	"*"	"KOS_2h_peak_8706"	99	"."	6.12491	13.433	9.97027	138	"Promoter (<=1kb)"	2	3188925	3377830	188906	2	"ENST00000398659"	-123	"EIPR1"	"2"	3315792	3315848	57	"*"	"KOS_4h_peak_814"	152	"."	11.39744	20.70119	15.26145	32	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4696	"EIPR1"
"55"	"ENSG00000032389"	"2"	3377953	3378322	370	"*"	"KOS_2h_peak_8706"	99	"."	6.12491	13.433	9.97027	138	"Promoter (<=1kb)"	2	3188925	3377830	188906	2	"ENST00000398659"	-123	"EIPR1"	"2"	3315494	3315625	132	"*"	"KOS_4h_peak_813"	86	"."	8.39812	13.67227	8.65634	25	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4919	"EIPR1"
"56"	"ENSG00000032389"	"2"	3377953	3378322	370	"*"	"KOS_2h_peak_8706"	99	"."	6.12491	13.433	9.97027	138	"Promoter (<=1kb)"	2	3188925	3377830	188906	2	"ENST00000398659"	-123	"EIPR1"	"2"	3315967	3316133	167	"*"	"KOS_4h_peak_815"	119	"."	9.83564	17.18914	11.95526	19	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4411	"EIPR1"
"57"	"ENSG00000032389"	"2"	3315428	3316231	804	"*"	"KOS_2h_peak_8704"	383	"."	17.88075	42.51458	38.32444	357	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4313	"EIPR1"	"2"	3315792	3315848	57	"*"	"KOS_4h_peak_814"	152	"."	11.39744	20.70119	15.26145	32	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4696	"EIPR1"
